Link,Name,Country,Born
https://www.espncricinfo.com/cricketers/nathan-ellis-826915,Nathan Ellis,Australia,1994-09-22
https://www.espncricinfo.com/cricketers/adam-zampa-379504,Adam Zampa,Australia,1992-03-31
https://www.espncricinfo.com/cricketers/tanveer-sangha-1170471,Tanveer Sangha,Australia,2001-11-26
https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,Shreyas Iyer,India,1994-12-06
https://www.espncricinfo.com/cricketers/jitesh-sharma-721867,Jitesh Sharma,India,1993-10-22
https://www.espncricinfo.com/cricketers/deepak-chahar-447261,Deepak Chahar,India,1992-08-07
https://www.espncricinfo.com/cricketers/avesh-khan-694211,Avesh Khan,India,1996-12-13
https://www.espncricinfo.com/cricketers/josh-philippe-1124282,Josh Philippe,Australia,1997-06-01
https://www.espncricinfo.com/cricketers/ben-mcdermott-603410,Ben McDermott,Australia,1994-12-12
https://www.espncricinfo.com/cricketers/ben-dwarshuis-679567,Ben Dwarshuis,Australia,1994-06-23
https://www.espncricinfo.com/cricketers/chris-green-787073,Chris Green,Australia,1993-10-01
https://www.espncricinfo.com/cricketers/jason-behrendorff-272477,Jason Behrendorff,Australia,1990-04-20
https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,Andy Balbirnie,Ireland,1990-12-28
https://www.espncricinfo.com/cricketers/paul-stirling-303427,Paul Stirling,Ireland,1990-09-03
https://www.espncricinfo.com/cricketers/lorcan-tucker-928057,Lorcan Tucker,Ireland,1996-09-10
https://www.espncricinfo.com/cricketers/harry-tector-961407,Harry Tector,Ireland,1999-12-06
https://www.espncricinfo.com/cricketers/curtis-campher-595921,Curtis Campher,Ireland,1999-04-20
https://www.espncricinfo.com/cricketers/george-dockrell-348034,George Dockrell,Ireland,1992-07-22
https://www.espncricinfo.com/cricketers/mark-adair-526441,Mark Adair,Ireland,1996-03-27
https://www.espncricinfo.com/cricketers/gareth-delany-1099379,Gareth Delany,Ireland,1997-04-28
https://www.espncricinfo.com/cricketers/barry-mccarthy-348059,Barry McCarthy,Ireland,1992-09-13
https://www.espncricinfo.com/cricketers/craig-young-364343,Craig Young,Ireland,1990-04-04
https://www.espncricinfo.com/cricketers/tadiwanashe-marumani-946507,Tadiwanashe Marumani,Zimbabwe,2002-01-02
https://www.espncricinfo.com/cricketers/sean-williams-55870,Sean Williams,Zimbabwe,1986-09-26
https://www.espncricinfo.com/cricketers/brian-bennett-1071484,Brian Bennett,Zimbabwe,2003-11-10
https://www.espncricinfo.com/cricketers/trevor-gwandu-1038205,Trevor Gwandu,Zimbabwe,1998-02-24
https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051,Blessing Muzarabani,Zimbabwe,1996-10-02
https://www.espncricinfo.com/cricketers/tony-munyonga-1122853,Tony Munyonga,Zimbabwe,1999-01-31
https://www.espncricinfo.com/cricketers/brandon-mavuta-806239,Brandon Mavuta,Zimbabwe,1997-03-04
https://www.espncricinfo.com/cricketers/shubman-gill-1070173,Shubman Gill,India,1999-09-08
https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,Ravindra Jadeja,India,1988-12-06
https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,Heinrich Klaasen,South Africa,1991-07-30
https://www.espncricinfo.com/cricketers/david-miller-321777,David Miller,South Africa,1989-06-10
https://www.espncricinfo.com/cricketers/andile-phehlukwayo-540316,Andile Phehlukwayo,South Africa,1996-03-03
https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,Mohammed Siraj,India,1994-03-13
https://www.espncricinfo.com/cricketers/nandre-burger-971349,Nandre Burger,South Africa,1995-08-11
https://www.espncricinfo.com/cricketers/phil-salt-669365,Phil Salt,England,1996-08-28
https://www.espncricinfo.com/cricketers/jos-buttler-308967,Jos Buttler,England,1990-09-08
https://www.espncricinfo.com/cricketers/will-jacks-897549,Will Jacks,England,1998-11-21
https://www.espncricinfo.com/cricketers/ben-duckett-521637,Ben Duckett,England,1994-10-17
https://www.espncricinfo.com/cricketers/harry-brook-911707,Harry Brook,England,1999-02-22
https://www.espncricinfo.com/cricketers/liam-livingstone-403902,Liam Livingstone,England,1993-08-04
https://www.espncricinfo.com/cricketers/sam-curran-662973,Sam Curran,England,1998-06-03
https://www.espncricinfo.com/cricketers/chris-woakes-247235,Chris Woakes,England,1989-03-02
https://www.espncricinfo.com/cricketers/rehan-ahmed-1263691,Rehan Ahmed,England,2004-08-13
https://www.espncricinfo.com/cricketers/adil-rashid-244497,Adil Rashid,England,1988-02-17
