Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2018-04-07,Rohit Sharma,15,18,1,1,83.33,India,1987-04-30,MI,Mumbai,2018
2018-04-07,Evin Lewis,0,2,0,0,0.00,West Indies,1991-12-27,MI,Mumbai,2018
2018-04-07,Ishan Kishan,40,29,4,1,137.93,India,1998-07-18,MI,Mumbai,2018
2018-04-07,Suryakumar Yadav,43,29,6,1,148.28,India,1990-09-14,MI,Mumbai,2018
2018-04-07,Hardik Pandya,22,20,2,0,110.00,India,1993-10-11,MI,Mumbai,2018
2018-04-07,Krunal Pandya,41,22,5,2,186.36,India,1991-03-24,MI,Mumbai,2018
2018-04-07,Shane Watson,16,14,1,1,114.29,Australia,1981-06-17,CSK,Mumbai,2018
2018-04-07,Ambati Rayudu,22,19,4,0,115.79,India,1985-09-23,CSK,Mumbai,2018
2018-04-07,Suresh Raina,4,6,0,0,66.67,India,1986-11-27,CSK,Mumbai,2018
2018-04-07,Kedar Jadhav,24,22,1,2,109.09,India,1985-03-26,CSK,Mumbai,2018
2018-04-07,MS Dhoni,5,5,0,0,100.00,India,1981-07-07,CSK,Mumbai,2018
2018-04-07,Ravindra Jadeja,12,13,1,0,92.31,India,1988-12-06,CSK,Mumbai,2018
2018-04-07,Dwayne Bravo,68,30,3,7,226.67,West Indies,1983-10-07,CSK,Mumbai,2018
2018-04-07,Deepak Chahar,0,1,0,0,0.00,India,1992-08-07,CSK,Mumbai,2018
2018-04-07,Harbhajan Singh,8,5,1,0,160.00,India,1980-07-03,CSK,Mumbai,2018
2018-04-07,Mark Wood,1,3,0,0,33.33,England,1990-01-11,CSK,Mumbai,2018
2018-04-08,Colin Munro,4,6,0,0,66.67,New Zealand,1987-03-11,DD,Mohali,2018
2018-04-08,Gautam Gambhir,55,42,5,1,130.95,India,1981-10-14,DD,Mohali,2018
2018-04-08,Shreyas Iyer,11,11,0,1,100.00,India,1994-12-06,DD,Mohali,2018
2018-04-08,Vijay Shankar,13,13,0,0,100.00,India,1991-01-26,DD,Mohali,2018
2018-04-08,Rishabh Pant,28,13,4,1,215.38,India,1997-10-04,DD,Mohali,2018
2018-04-08,Rahul Tewatia,9,7,1,0,128.57,India,1993-05-20,DD,Mohali,2018
2018-04-08,Chris Morris,27,16,1,1,168.75,South Africa,1987-04-30,DD,Mohali,2018
2018-04-08,Daniel Christian,13,13,0,1,100.00,Australia,1983-05-04,DD,Mohali,2018
2018-04-08,KL Rahul,51,16,6,4,318.75,India,1992-04-18,KXP,Mohali,2018
2018-04-08,Mayank Agarwal,7,5,0,1,140.00,India,1991-02-16,KXP,Mohali,2018
2018-04-08,Yuvraj Singh,12,22,2,0,54.55,India,1981-12-12,KXP,Mohali,2018
2018-04-08,Karun Nair,50,33,5,2,151.52,India,1991-12-06,KXP,Mohali,2018
2018-04-08,David Miller,24,23,1,0,104.35,South Africa,1989-06-10,KXP,Mohali,2018
2018-04-08,Marcus Stoinis,22,15,2,0,146.67,Australia,1989-08-16,KXP,Mohali,2018
2018-04-08,Brendon McCullum,43,27,6,2,159.26,New Zealand,1981-09-27,RCB,Kolkata,2018
2018-04-08,Quinton de Kock,4,4,1,0,100.00,South Africa,1992-12-17,RCB,Kolkata,2018
2018-04-08,Virat Kohli,31,33,1,1,93.94,India,1988-11-05,RCB,Kolkata,2018
