Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2012-04-04,Lasith Malinga,3.5,0,16,2,0,2,4.57,Sri Lanka,1983-08-28,MI,Chennai,2012
2012-04-04,Abu Nechim,2,0,17,0,0,1,8.50,India,1988-11-05,MI,Chennai,2012
2012-04-04,Harbhajan Singh,4,0,24,0,0,2,6.00,India,1980-07-03,MI,Chennai,2012
2012-04-04,James Franklin,2,0,18,1,0,0,9.00,New Zealand,1980-11-07,MI,Chennai,2012
2012-04-04,Pragyan Ojha,4,0,17,2,0,0,4.25,India,1986-09-05,MI,Chennai,2012
2012-04-04,Kieron Pollard,4,0,15,2,0,2,3.75,West Indies,1987-05-12,MI,Chennai,2012
2012-04-04,Albie Morkel,4,0,20,0,0,1,5.00,South Africa,1981-06-10,CSK,Chennai,2012
2012-04-04,Doug Bollinger,3.5,0,34,1,0,1,9.71,Australia,1981-07-24,CSK,Chennai,2012
2012-04-04,Ravichandran Ashwin,4,0,20,0,0,0,5.00,India,1986-09-17,CSK,Chennai,2012
2012-04-04,Ravindra Jadeja,1,0,16,0,0,0,16.00,India,1988-12-06,CSK,Chennai,2012
2012-04-04,Dwayne Bravo,3,0,14,1,0,1,4.67,West Indies,1983-10-07,CSK,Chennai,2012
2012-04-04,Shadab Jakati,1,0,8,0,0,0,8.00,India,1980-11-27,CSK,Chennai,2012
2012-04-05,Irfan Pathan,1,0,9,0,0,0,9.00,India,1984-10-27,DD,Kolkata,2012
2012-04-05,Roelof van der Merwe,3,0,28,2,0,1,9.33,Netherlands,1984-12-31,DD,Kolkata,2012
2012-04-05,Morne Morkel,3,0,18,3,0,0,6.00,South Africa,1984-10-06,DD,Kolkata,2012
2012-04-05,Umesh Yadav,2,0,9,2,0,0,4.50,India,1987-10-25,DD,Kolkata,2012
2012-04-05,Glenn Maxwell,1,0,12,0,0,1,12.00,Australia,1988-10-14,DD,Kolkata,2012
2012-04-05,Shahbaz Nadeem,2,0,16,0,0,0,8.00,India,1989-08-12,DD,Kolkata,2012
2012-04-05,Brett Lee,2,0,15,0,0,0,7.50,Australia,1976-11-08,KKR,Kolkata,2012
2012-04-05,Marchant de Lange,3,0,36,0,0,1,12.00,South Africa,1990-10-13,KKR,Kolkata,2012
2012-04-05,Iqbal Abdulla,1,0,8,0,0,0,8.00,India,1989-12-02,KKR,Kolkata,2012
2012-04-05,Jacques Kallis,3,0,23,1,0,0,7.67,South Africa,1975-10-16,KKR,Kolkata,2012
2012-04-05,Rajat Bhatia,1.1,0,7,1,0,0,6.36,India,1979-10-22,KKR,Kolkata,2012
2012-04-05,Yusuf Pathan,1,0,7,0,0,0,7.00,India,1982-11-17,KKR,Kolkata,2012
2012-04-06,Lasith Malinga,4,1,16,2,0,1,4.00,Sri Lanka,1983-08-28,MI,Mumbai,2012
2012-04-06,Harbhajan Singh,3,0,16,1,0,0,5.33,India,1980-07-03,MI,Mumbai,2012
2012-04-06,Munaf Patel,4,0,26,2,0,0,6.50,India,1983-07-12,MI,Mumbai,2012
2012-04-06,Pragyan Ojha,4,0,23,1,0,0,5.75,India,1986-09-05,MI,Mumbai,2012
2012-04-06,Kieron Pollard,4,0,31,1,0,2,7.75,West Indies,1987-05-12,MI,Mumbai,2012
2012-04-06,James Franklin,1,0,12,0,0,0,12.00,New Zealand,1980-11-07,MI,Mumbai,2012
2012-04-06,Murali Kartik,3,0,14,2,0,0,4.67,India,1976-09-11,PW,Mumbai,2012
2012-04-06,Ashok Dinda,4,0,18,4,0,2,4.50,India,1984-03-25,PW,Mumbai,2012
2012-04-06,Marlon Samuels,4,0,21,1,0,1,5.25,West Indies,1981-02-05,PW,Mumbai,2012
2012-04-06,Wayne Parnell,3,0,18,1,0,0,6.00,South Africa,1989-07-30,PW,Mumbai,2012
2012-04-06,Rahul Sharma,4,0,16,1,0,1,4.00,India,1986-11-30,PW,Mumbai,2012
2012-04-06,Bhuvneshwar Kumar,2,0,13,0,0,0,6.50,India,1990-02-05,PW,Mumbai,2012
2012-04-06,Praveen Kumar,4,0,42,0,0,2,10.50,India,1986-10-02,KXP,Jaipur,2012
2012-04-06,James Faulkner,4,0,41,2,0,1,10.25,Australia,1990-04-29,KXP,Jaipur,2012
2012-04-06,Piyush Chawla,4,0,33,1,0,0,8.25,India,1988-12-24,KXP,Jaipur,2012
2012-04-06,Bipul Sharma,4,0,28,0,0,2,7.00,India,1983-09-28,KXP,Jaipur,2012
2012-04-06,Harmeet Singh Bansal,3,0,23,1,0,2,7.67,India,1987-10-09,KXP,Jaipur,2012
2012-04-06,Paul Valthaty,1,0,16,0,0,0,16.00,India,1983-12-07,KXP,Jaipur,2012
2012-04-06,Siddharth Trivedi,4,0,32,1,1,0,8.00,India,1982-09-04,RR,Jaipur,2012
2012-04-06,Johan Botha,4,0,36,0,0,0,9.00,South Africa,1982-05-02,RR,Jaipur,2012
2012-04-06,Amit Singh,4,0,26,1,0,1,6.50,India,1981-06-21,RR,Jaipur,2012
2012-04-06,Kevon Cooper,4,0,26,4,0,0,6.50,West Indies,1989-02-16,RR,Jaipur,2012
2012-04-06,Brad Hodge,1,0,8,0,0,0,8.00,Australia,1974-12-29,RR,Jaipur,2012
2012-04-06,Ankeet Chavan,3,0,28,2,0,0,9.33,India,1985-10-28,RR,Jaipur,2012
2012-04-07,Irfan Pathan,4,0,47,0,0,0,11.75,India,1984-10-27,DD,Bengaluru,2012
2012-04-07,Doug Bracewell,4,0,32,3,0,1,8.00,New Zealand,1990-09-28,DD,Bengaluru,2012
2012-04-07,Morne Morkel,4,0,30,2,0,1,7.50,South Africa,1984-10-06,DD,Bengaluru,2012
2012-04-07,Umesh Yadav,2,0,8,0,0,0,4.00,India,1987-10-25,DD,Bengaluru,2012
2012-04-07,Shahbaz Nadeem,4,0,26,1,0,0,6.50,India,1989-08-12,DD,Bengaluru,2012
2012-04-07,Glenn Maxwell,2,0,10,1,0,0,5.00,Australia,1988-10-14,DD,Bengaluru,2012
2012-04-07,Zaheer Khan,4,0,36,1,0,1,9.00,India,1978-10-07,RCB,Bengaluru,2012
2012-04-07,Vinay Kumar,4,0,25,0,0,0,6.25,India,1984-02-12,RCB,Bengaluru,2012
2012-04-07,Andrew McDonald,2,0,11,1,0,0,5.50,Australia,1981-06-05,RCB,Bengaluru,2012
2012-04-07,Daniel Vettori,4,0,28,1,0,1,7.00,New Zealand,1979-01-27,RCB,Bengaluru,2012
2012-04-07,Muttiah Muralitharan,4,0,25,3,0,0,6.25,Sri Lanka,1972-04-17,RCB,Bengaluru,2012
2012-04-07,Harshal Patel,2,0,10,0,0,0,5.00,India,1990-11-23,RCB,Bengaluru,2012
2012-04-07,Ankit Sharma,3,0,28,1,0,0,9.33,India,1991-04-20,DC,Visakhapatnam,2012
2012-04-07,Dale Steyn,4,0,25,2,0,4,6.25,South Africa,1983-06-27,DC,Visakhapatnam,2012
2012-04-07,Manpreet Gony,4,0,54,0,1,0,13.50,India,1984-01-04,DC,Visakhapatnam,2012
2012-04-07,Daniel Christian,4,0,26,2,0,0,6.50,Australia,1983-05-04,DC,Visakhapatnam,2012
2012-04-07,Daniel Harris,1,0,11,0,0,0,11.00,Australia,1979-12-31,DC,Visakhapatnam,2012
2012-04-07,TP Sudhindra,4,0,46,1,0,2,11.50,India,1984-04-24,DC,Visakhapatnam,2012
2012-04-07,Ravichandran Ashwin,3,0,12,0,0,0,4.00,India,1986-09-17,CSK,Visakhapatnam,2012
2012-04-07,Albie Morkel,2,0,20,0,0,1,10.00,South Africa,1981-06-10,CSK,Visakhapatnam,2012
2012-04-07,Doug Bollinger,2.1,0,20,2,0,2,9.52,Australia,1981-07-24,CSK,Visakhapatnam,2012
2012-04-07,Suresh Raina,2,0,10,1,0,0,5.00,India,1986-11-27,CSK,Visakhapatnam,2012
2012-04-07,Dwayne Bravo,1,0,10,0,0,0,10.00,West Indies,1983-10-07,CSK,Visakhapatnam,2012
2012-04-07,Shadab Jakati,2,0,14,2,0,0,7.00,India,1980-11-27,CSK,Visakhapatnam,2012
2012-04-07,Ravindra Jadeja,4,0,16,5,0,0,4.00,India,1988-12-06,CSK,Visakhapatnam,2012
2012-04-07,Faf du Plessis,1,0,16,0,0,0,16.00,South Africa,1984-07-13,CSK,Visakhapatnam,2012
2012-04-08,Brett Lee,4,0,29,2,1,0,7.25,Australia,1976-11-08,KKR,Jaipur,2012
2012-04-08,Jacques Kallis,4,0,35,0,0,1,8.75,South Africa,1975-10-16,KKR,Jaipur,2012
2012-04-08,Sunil Narine,4,0,29,0,0,0,7.25,West Indies,1988-05-26,KKR,Jaipur,2012
2012-04-08,Iqbal Abdulla,2,0,16,0,0,0,8.00,India,1989-12-02,KKR,Jaipur,2012
2012-04-08,Rajat Bhatia,4,0,27,1,0,0,6.75,India,1979-10-22,KKR,Jaipur,2012
2012-04-08,Yusuf Pathan,2,0,28,0,0,1,14.00,India,1982-11-17,KKR,Jaipur,2012
2012-04-08,Ankeet Chavan,4,0,23,2,0,1,5.75,India,1985-10-28,RR,Jaipur,2012
2012-04-08,Amit Singh,4,0,30,2,0,0,7.50,India,1981-06-21,RR,Jaipur,2012
2012-04-08,Kevon Cooper,4,0,28,3,0,2,7.00,West Indies,1989-02-16,RR,Jaipur,2012
2012-04-08,Siddharth Trivedi,4,1,25,2,0,0,6.25,India,1982-09-04,RR,Jaipur,2012
2012-04-08,Johan Botha,4,0,34,1,0,2,8.50,South Africa,1982-05-02,RR,Jaipur,2012
2012-04-08,Praveen Kumar,4,0,27,0,0,2,6.75,India,1986-10-02,KXP,Pune,2012
2012-04-08,James Faulkner,4,0,31,1,0,0,7.75,Australia,1990-04-29,KXP,Pune,2012
2012-04-08,Dimitri Mascarenhas,4,0,23,1,0,0,5.75,England,1977-10-30,KXP,Pune,2012
2012-04-08,Bipul Sharma,2.4,0,40,0,0,0,16.67,India,1983-09-28,KXP,Pune,2012
2012-04-08,Piyush Chawla,2,0,14,0,0,0,7.00,India,1988-12-24,KXP,Pune,2012
2012-04-08,Harmeet Singh Bansal,3.2,0,24,3,2,0,7.50,India,1987-10-09,KXP,Pune,2012
2012-04-08,Ashok Dinda,3,0,13,1,0,1,4.33,India,1984-03-25,PW,Pune,2012
2012-04-08,Marlon Samuels,4,0,23,1,0,0,5.75,West Indies,1981-02-05,PW,Pune,2012
2012-04-08,Ashish Nehra,3,0,20,1,0,0,6.67,India,1979-04-29,PW,Pune,2012
2012-04-08,Rahul Sharma,4,0,34,2,0,0,8.50,India,1986-11-30,PW,Pune,2012
2012-04-08,Murali Kartik,3,0,23,0,1,1,7.67,India,1976-09-11,PW,Pune,2012
2012-04-08,Jesse Ryder,3,0,25,1,0,1,8.33,New Zealand,1984-08-06,PW,Pune,2012
2012-04-09,Harbhajan Singh,4,0,18,0,0,0,4.50,India,1980-07-03,MI,Visakhapatnam,2012
2012-04-09,Munaf Patel,4,0,20,4,0,0,5.00,India,1983-07-12,MI,Visakhapatnam,2012
