Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2010-03-12,Tirumalsetti Suman,1,0,16,0,1,0,16.00,India,1983-12-15,DC,Mumbai,2010
2010-03-12,Andrew Symonds,4,0,26,0,0,2,6.50,Australia,1975-06-09,DC,Mumbai,2010
2010-03-12,Jaskaran Singh,4,0,35,1,0,1,8.75,India,1989-09-04,DC,Mumbai,2010
2010-03-12,Pragyan Ojha,4,0,19,0,0,0,4.75,India,1986-09-05,DC,Mumbai,2010
2010-03-12,RP Singh,4,0,35,1,0,3,8.75,India,1985-12-06,DC,Mumbai,2010
2010-03-12,Chaminda Vaas,3,1,22,2,0,0,7.33,Sri Lanka,1974-01-27,DC,Mumbai,2010
2010-03-12,Brad Hodge,2,0,14,1,0,0,7.00,Australia,1974-12-29,KKR,Mumbai,2010
2010-03-12,Angelo Mathews,4,0,27,1,1,1,6.75,Sri Lanka,1987-06-02,KKR,Mumbai,2010
2010-03-12,Murali Kartik,3,0,17,1,0,0,5.67,India,1976-09-11,KKR,Mumbai,2010
2010-03-12,Laxmi Shukla,3,0,30,1,0,0,10.00,India,1981-05-06,KKR,Mumbai,2010
2010-03-12,Ishant Sharma,4,0,31,1,1,1,7.75,India,1988-09-02,KKR,Mumbai,2010
2010-03-12,Charl Langeveldt,4,0,26,2,0,3,6.50,South Africa,1974-12-17,KKR,Mumbai,2010
2010-03-13,Shane Warne,3,0,29,0,0,1,9.67,Australia,1969-09-13,RR,Mumbai,2010
2010-03-13,Abhishek Jhunjhunwala,2,0,27,0,0,0,13.50,India,1982-12-01,RR,Mumbai,2010
2010-03-13,Yusuf Pathan,2,0,22,0,0,0,11.00,India,1982-11-17,RR,Mumbai,2010
2010-03-13,Amit Uniyal,4,0,41,2,0,2,10.25,India,1981-11-21,RR,Mumbai,2010
2010-03-13,Dimitri Mascarenhas,4,0,34,2,0,0,8.50,England,1977-10-30,RR,Mumbai,2010
2010-03-13,Kamran Khan,1,0,10,0,0,0,10.00,India,1991-03-10,RR,Mumbai,2010
2010-03-13,Shaun Tait,4,0,46,1,0,6,11.50,Australia,1983-02-22,RR,Mumbai,2010
2010-03-13,Zaheer Khan,4,0,27,0,0,1,6.75,India,1978-10-07,MI,Mumbai,2010
2010-03-13,Ryan McLaren,4,0,43,0,0,2,10.75,South Africa,1983-02-09,MI,Mumbai,2010
2010-03-13,Lasith Malinga,4,0,22,2,0,1,5.50,Sri Lanka,1983-08-28,MI,Mumbai,2010
2010-03-13,Ali Murtaza,4,0,46,1,0,0,11.50,India,1990-01-01,MI,Mumbai,2010
2010-03-13,Rajagopal Sathish,3,0,51,1,0,1,17.00,India,1981-01-14,MI,Mumbai,2010
2010-03-13,Sanath Jayasuriya,1,0,19,0,0,0,19.00,Sri Lanka,1969-06-30,MI,Mumbai,2010
2010-03-13,Yo Mahesh,3,0,23,1,0,1,7.67,India,1987-12-21,DD,Mohali,2010
2010-03-13,Pradeep Sangwan,4,0,32,1,0,0,8.00,India,1990-11-05,DD,Mohali,2010
2010-03-13,Amit Mishra,4,0,23,1,0,0,5.75,India,1982-11-24,DD,Mohali,2010
2010-03-13,Dirk Nannes,4,0,12,2,0,2,3.00,Australia,1976-05-16,DD,Mohali,2010
2010-03-13,Farveez Maharoof,4,0,37,2,0,2,9.25,Sri Lanka,1984-09-07,DD,Mohali,2010
2010-03-13,Tillakaratne Dilshan,1,0,7,1,0,0,7.00,Sri Lanka,1976-10-14,DD,Mohali,2010
2010-03-13,Yuvraj Singh,3,0,11,0,0,0,3.67,India,1981-12-12,KXP,Mohali,2010
2010-03-13,Piyush Chawla,4,0,33,0,0,0,8.25,India,1988-12-24,KXP,Mohali,2010
2010-03-13,Ramesh Powar,1,0,16,0,0,0,16.00,India,1978-05-20,KXP,Mohali,2010
2010-03-13,Irfan Pathan,3.5,0,27,1,0,2,7.71,India,1984-10-27,KXP,Mohali,2010
2010-03-13,Yusuf Abdulla,4,0,30,1,0,0,7.50,South Africa,1983-01-17,KXP,Mohali,2010
2010-03-13,S Sreesanth,4,0,24,2,0,0,6.00,India,1983-02-06,KXP,Mohali,2010
2010-03-14,Brad Hodge,1,0,11,0,0,0,11.00,Australia,1974-12-29,KKR,Kolkata,2010
2010-03-14,Sourav Ganguly,2,0,18,0,0,0,9.00,India,1972-07-08,KKR,Kolkata,2010
2010-03-14,Murali Kartik,4,0,22,2,1,0,5.50,India,1976-09-11,KKR,Kolkata,2010
2010-03-14,Angelo Mathews,4,0,19,4,0,0,4.75,Sri Lanka,1987-06-02,KKR,Kolkata,2010
2010-03-14,Charl Langeveldt,4,0,27,1,0,0,6.75,South Africa,1974-12-17,KKR,Kolkata,2010
2010-03-14,Ishant Sharma,4,0,27,0,0,1,6.75,India,1988-09-02,KKR,Kolkata,2010
2010-03-14,Rohan Gavaskar,1,0,8,0,0,0,8.00,India,1976-02-20,KKR,Kolkata,2010
2010-03-14,Virat Kohli,0.2,0,1,0,0,0,5.00,India,1988-11-05,RCB,Kolkata,2010
2010-03-14,Praveen Kumar,4,0,16,1,0,0,4.00,India,1986-10-02,RCB,Kolkata,2010
2010-03-14,Anil Kumble,4,0,19,0,0,0,4.75,India,1970-10-17,RCB,Kolkata,2010
2010-03-14,Roelof van der Merwe,4,0,27,2,0,3,6.75,Netherlands,1984-12-31,RCB,Kolkata,2010
2010-03-14,Dale Steyn,4,0,38,0,0,2,9.50,South Africa,1983-06-27,RCB,Kolkata,2010
2010-03-14,Jacques Kallis,3,0,34,0,0,0,11.33,South Africa,1975-10-16,RCB,Kolkata,2010
2010-03-14,Justin Kemp,2.1,0,15,0,0,1,7.14,South Africa,1977-10-02,CSK,Chennai,2010
2010-03-14,Lakshmipathy Balaji,4,0,36,0,0,1,9.00,India,1981-09-27,CSK,Chennai,2010
2010-03-14,Muttiah Muralitharan,4,0,28,0,0,4,7.00,Sri Lanka,1972-04-17,CSK,Chennai,2010
2010-03-14,Albie Morkel,4,0,41,0,0,1,10.25,South Africa,1981-06-10,CSK,Chennai,2010
2010-03-14,Ravichandran Ashwin,4,0,26,1,0,2,6.50,India,1986-09-17,CSK,Chennai,2010
2010-03-14,Sudeep Tyagi,1.5,0,39,0,2,0,26.00,India,1987-09-17,CSK,Chennai,2010
2010-03-14,Tirumalsetti Suman,1,0,8,0,0,0,8.00,India,1983-12-15,DC,Chennai,2010
2010-03-14,Andrew Symonds,3,0,29,2,0,0,9.67,Australia,1975-06-09,DC,Chennai,2010
2010-03-14,Jaskaran Singh,1,0,16,0,0,1,16.00,India,1989-09-04,DC,Chennai,2010
2010-03-14,RP Singh,3,0,30,1,0,2,10.00,India,1985-12-06,DC,Chennai,2010
2010-03-14,Pragyan Ojha,4,0,28,2,0,0,7.00,India,1986-09-05,DC,Chennai,2010
