Name,Runs,Balls,Fours,Sixes,Strike Rate,Team,Date
Rohit Sharma,98,65,12,4,150.77,Mumbai Indians,2015-04-08
Aaron Finch,5,5,1,0,100.00,Mumbai Indians,2015-04-08
Aditya Tare,7,7,1,0,100.00,Mumbai Indians,2015-04-08
Ambati Rayudu,0,2,0,0,0.00,Mumbai Indians,2015-04-08
Corey Anderson,55,41,4,3,134.15,Mumbai Indians,2015-04-08
Robin Uthappa,9,12,0,1,75.00,Kolkata Knight Riders,2015-04-08
Gautam Gambhir,57,43,7,1,132.56,Kolkata Knight Riders,2015-04-08
Manish Pandey,40,24,2,3,166.67,Kolkata Knight Riders,2015-04-08
Suryakumar Yadav,46,20,1,5,230.00,Kolkata Knight Riders,2015-04-08
Yusuf Pathan,14,12,1,1,116.67,Kolkata Knight Riders,2015-04-08
Dwayne Smith,34,31,6,0,109.68,Chennai Super Kings,2015-04-09
Brendon McCullum,4,2,1,0,200.00,Chennai Super Kings,2015-04-09
Suresh Raina,4,7,0,0,57.14,Chennai Super Kings,2015-04-09
Faf du Plessis,32,24,3,0,133.33,Chennai Super Kings,2015-04-09
Ravindra Jadeja,17,18,1,1,94.44,Chennai Super Kings,2015-04-09
MS Dhoni,30,27,1,2,111.11,Chennai Super Kings,2015-04-09
Dwayne Bravo,1,3,0,0,33.33,Chennai Super Kings,2015-04-09
Ravichandran Ashwin,12,8,1,0,150.00,Chennai Super Kings,2015-04-09
Mohit Sharma,2,1,0,0,200.00,Chennai Super Kings,2015-04-09
Mayank Agarwal,15,12,2,1,125.00,Delhi Daredevils,2015-04-09
CM Gautam,4,5,0,0,80.00,Delhi Daredevils,2015-04-09
Albie Morkel,73,55,8,1,132.73,Delhi Daredevils,2015-04-09
Shreyas Iyer,7,7,1,0,100.00,Delhi Daredevils,2015-04-09
Kedar Jadhav,20,20,2,0,100.00,Delhi Daredevils,2015-04-09
Yuvraj Singh,9,6,1,0,150.00,Delhi Daredevils,2015-04-09
Jean-Paul Duminy,5,5,0,0,100.00,Delhi Daredevils,2015-04-09
Nathan Coulter-Nile,5,4,1,0,125.00,Delhi Daredevils,2015-04-09
Amit Mishra,4,4,0,0,100.00,Delhi Daredevils,2015-04-09
Imran Tahir,2,2,0,0,100.00,Delhi Daredevils,2015-04-09
Ajinkya Rahane,0,8,0,0,0.00,Rajasthan Royals,2015-04-10
Sanju Samson,5,6,0,0,83.33,Rajasthan Royals,2015-04-10
Steven Smith,33,23,5,0,143.48,Rajasthan Royals,2015-04-10
Karun Nair,8,11,0,1,72.73,Rajasthan Royals,2015-04-10
Stuart Binny,13,16,2,0,81.25,Rajasthan Royals,2015-04-10
Deepak Hooda,30,15,1,3,200.00,Rajasthan Royals,2015-04-10
James Faulkner,46,33,2,3,139.39,Rajasthan Royals,2015-04-10
Chris Morris,6,8,0,0,75.00,Rajasthan Royals,2015-04-10
Tim Southee,0,0,0,0,0.00,Rajasthan Royals,2015-04-10
Virender Sehwag,0,1,0,0,0.00,Kings XI Punjab,2015-04-10
Murali Vijay,37,32,4,1,115.63,Kings XI Punjab,2015-04-10
Wriddhiman Saha,7,4,1,0,175.00,Kings XI Punjab,2015-04-10
Glenn Maxwell,7,5,1,0,140.00,Kings XI Punjab,2015-04-10
Axar Patel,24,28,2,0,85.71,Kings XI Punjab,2015-04-10
David Miller,23,21,3,1,109.52,Kings XI Punjab,2015-04-10
George Bailey,24,18,2,1,133.33,Kings XI Punjab,2015-04-10
Mitchell Johnson,0,4,0,0,0.00,Kings XI Punjab,2015-04-10
Anureet Singh,0,3,0,0,0.00,Kings XI Punjab,2015-04-10
Karanveer Singh,5,4,1,0,125.00,Kings XI Punjab,2015-04-10
Dwayne Smith,27,26,4,1,103.85,Chennai Super Kings,2015-04-11
Brendon McCullum,100,56,7,9,178.57,Chennai Super Kings,2015-04-11
Suresh Raina,14,12,1,0,116.67,Chennai Super Kings,2015-04-11
MS Dhoni,53,29,4,4,182.76,Chennai Super Kings,2015-04-11
Ravindra Jadeja,0,1,0,0,0.00,Chennai Super Kings,2015-04-11
Dwayne Bravo,0,0,0,0,0.00,Chennai Super Kings,2015-04-11
David Warner,53,42,1,3,126.19,Sunrisers Hyderabad,2015-04-11
Shikhar Dhawan,26,18,5,0,144.44,Sunrisers Hyderabad,2015-04-11
KL Rahul,5,8,1,0,62.50,Sunrisers Hyderabad,2015-04-11
Naman Ojha,15,11,0,1,136.36,Sunrisers Hyderabad,2015-04-11
Ravi Bopara,22,15,0,2,146.67,Sunrisers Hyderabad,2015-04-11
Kane Williamson,26,18,1,1,144.44,Sunrisers Hyderabad,2015-04-11
Karn Sharma,4,6,0,0,66.67,Sunrisers Hyderabad,2015-04-11
Parvez Rasool,2,2,0,0,100.00,Sunrisers Hyderabad,2015-04-11
Robin Uthappa,35,28,4,0,125.00,Kolkata Knight Riders,2015-04-11
Gautam Gambhir,58,46,7,1,126.09,Kolkata Knight Riders,2015-04-11
Manish Pandey,23,15,4,0,153.33,Kolkata Knight Riders,2015-04-11
Suryakumar Yadav,11,9,2,0,122.22,Kolkata Knight Riders,2015-04-11
Yusuf Pathan,3,4,0,0,75.00,Kolkata Knight Riders,2015-04-11
Andre Russell,41,17,6,2,241.18,Kolkata Knight Riders,2015-04-11
Shakib Al Hasan,0,1,0,0,0.00,Kolkata Knight Riders,2015-04-11
Piyush Chawla,0,0,0,0,0.00,Kolkata Knight Riders,2015-04-11
Chris Gayle,96,56,7,7,171.43,Royal Challengers Bangalore,2015-04-11
Virat Kohli,13,15,0,1,86.67,Royal Challengers Bangalore,2015-04-11
Dinesh Karthik,6,8,1,0,75.00,Royal Challengers Bangalore,2015-04-11
Mandeep Singh,6,3,0,1,200.00,Royal Challengers Bangalore,2015-04-11
AB de Villiers,28,13,3,2,215.38,Royal Challengers Bangalore,2015-04-11
Daren Sammy,7,9,0,0,77.78,Royal Challengers Bangalore,2015-04-11
Sean Abbott,1,4,0,0,25.00,Royal Challengers Bangalore,2015-04-11
Harshal Patel,9,4,0,1,225.00,Royal Challengers Bangalore,2015-04-11
Abu Nechim,5,2,1,0,250.00,Royal Challengers Bangalore,2015-04-11
Mayank Agarwal,37,21,6,1,176.19,Delhi Daredevils,2015-04-12
Shreyas Iyer,40,30,3,3,133.33,Delhi Daredevils,2015-04-12
Jean-Paul Duminy,44,38,0,3,115.79,Delhi Daredevils,2015-04-12
Yuvraj Singh,27,17,0,2,158.82,Delhi Daredevils,2015-04-12
Angelo Mathews,27,14,3,1,192.86,Delhi Daredevils,2015-04-12
Ajinkya Rahane,47,39,2,3,120.51,Rajasthan Royals,2015-04-12
Sanju Samson,11,12,1,0,91.67,Rajasthan Royals,2015-04-12
Steven Smith,10,9,2,0,111.11,Rajasthan Royals,2015-04-12
Karun Nair,20,12,3,0,166.67,Rajasthan Royals,2015-04-12
Stuart Binny,1,2,0,0,50.00,Rajasthan Royals,2015-04-12
Deepak Hooda,54,25,3,4,216.00,Rajasthan Royals,2015-04-12
James Faulkner,17,11,2,0,154.55,Rajasthan Royals,2015-04-12
Chris Morris,13,6,1,1,216.67,Rajasthan Royals,2015-04-12
Tim Southee,7,4,1,0,175.00,Rajasthan Royals,2015-04-12
Murali Vijay,35,29,6,0,120.69,Kings XI Punjab,2015-04-12
Virender Sehwag,36,19,6,1,189.47,Kings XI Punjab,2015-04-12
Glenn Maxwell,6,4,1,0,150.00,Kings XI Punjab,2015-04-12
David Miller,24,23,3,0,104.35,Kings XI Punjab,2015-04-12
George Bailey,61,32,4,3,190.63,Kings XI Punjab,2015-04-12
Rishi Dhawan,6,6,1,0,100.00,Kings XI Punjab,2015-04-12
Mitchell Johnson,3,7,0,0,42.86,Kings XI Punjab,2015-04-12
Rohit Sharma,0,2,0,0,0.00,Mumbai Indians,2015-04-12
Aaron Finch,8,14,1,0,57.14,Mumbai Indians,2015-04-12
Aditya Tare,7,10,0,0,70.00,Mumbai Indians,2015-04-12
Ambati Rayudu,13,19,2,0,68.42,Mumbai Indians,2015-04-12
Corey Anderson,5,11,1,0,45.45,Mumbai Indians,2015-04-12
Kieron Pollard,20,21,1,1,95.24,Mumbai Indians,2015-04-12
Jagadeesha Suchith,34,21,4,2,161.90,Mumbai Indians,2015-04-12
Harbhajan Singh,64,24,5,6,266.67,Mumbai Indians,2015-04-12
Vinay Kumar,0,0,0,0,0.00,Mumbai Indians,2015-04-12
Chris Gayle,21,16,3,1,131.25,Royal Challengers Bangalore,2015-04-13
Virat Kohli,41,37,4,2,110.81,Royal Challengers Bangalore,2015-04-13
Dinesh Karthik,9,11,1,0,81.82,Royal Challengers Bangalore,2015-04-13
AB de Villiers,46,28,5,2,164.29,Royal Challengers Bangalore,2015-04-13
Mandeep Singh,0,1,0,0,0.00,Royal Challengers Bangalore,2015-04-13
Daren Sammy,6,9,0,0,66.67,Royal Challengers Bangalore,2015-04-13
Sean Abbott,14,9,1,1,155.56,Royal Challengers Bangalore,2015-04-13
Harshal Patel,2,2,0,0,100.00,Royal Challengers Bangalore,2015-04-13
Abu Nechim,4,2,1,0,200.00,Royal Challengers Bangalore,2015-04-13
Varun Aaron,6,3,0,1,200.00,Royal Challengers Bangalore,2015-04-13
David Warner,57,27,6,4,211.11,Sunrisers Hyderabad,2015-04-13
Shikhar Dhawan,50,42,4,2,119.05,Sunrisers Hyderabad,2015-04-13
Kane Williamson,5,9,0,0,55.56,Sunrisers Hyderabad,2015-04-13
KL Rahul,44,28,4,1,157.14,Sunrisers Hyderabad,2015-04-13
Aaron Finch,10,14,2,0,71.43,Mumbai Indians,2015-04-14
Parthiv Patel,16,11,2,0,145.45,Mumbai Indians,2015-04-14
Unmukt Chand,12,17,1,0,70.59,Mumbai Indians,2015-04-14
Rohit Sharma,0,5,0,0,0.00,Mumbai Indians,2015-04-14
Corey Anderson,50,38,5,3,131.58,Mumbai Indians,2015-04-14
Kieron Pollard,70,34,7,5,205.88,Mumbai Indians,2015-04-14
Jagadeesha Suchith,0,1,0,0,0.00,Mumbai Indians,2015-04-14
Shreyas Gopal,1,1,0,0,100.00,Mumbai Indians,2015-04-14
Ajinkya Rahane,46,39,4,0,117.95,Rajasthan Royals,2015-04-14
Sanju Samson,17,16,3,0,106.25,Rajasthan Royals,2015-04-14
Steven Smith,79,53,8,1,149.06,Rajasthan Royals,2015-04-14
Deepak Hooda,13,4,0,2,325.00,Rajasthan Royals,2015-04-14
James Faulkner,6,6,0,0,100.00,Rajasthan Royals,2015-04-14
Murali Vijay,19,18,2,1,105.56,Kings XI Punjab,2015-04-15
Virender Sehwag,47,41,4,2,114.63,Kings XI Punjab,2015-04-15
Wriddhiman Saha,39,28,0,3,139.29,Kings XI Punjab,2015-04-15
David Miller,5,7,0,0,71.43,Kings XI Punjab,2015-04-15
Glenn Maxwell,15,5,0,2,300.00,Kings XI Punjab,2015-04-15
George Bailey,19,11,1,1,172.73,Kings XI Punjab,2015-04-15
Axar Patel,13,10,0,1,130.00,Kings XI Punjab,2015-04-15
Rishi Dhawan,0,0,0,0,0.00,Kings XI Punjab,2015-04-15
Mayank Agarwal,68,48,7,2,141.67,Delhi Daredevils,2015-04-15
Shreyas Iyer,6,5,1,0,120.00,Delhi Daredevils,2015-04-15
Jean-Paul Duminy,21,19,3,0,110.53,Delhi Daredevils,2015-04-15
Yuvraj Singh,54,39,5,3,138.46,Delhi Daredevils,2015-04-15
Angelo Mathews,6,4,1,0,150.00,Delhi Daredevils,2015-04-15
Kedar Jadhav,3,5,0,0,60.00,Delhi Daredevils,2015-04-15
Manoj Tiwary,0,0,0,0,0.00,Delhi Daredevils,2015-04-15
David Warner,21,14,3,1,150.00,Sunrisers Hyderabad,2015-04-16
Shikhar Dhawan,10,12,2,0,83.33,Sunrisers Hyderabad,2015-04-16
KL Rahul,2,5,0,0,40.00,Sunrisers Hyderabad,2015-04-16
