Name,Runs,Balls,Fours,Sixes,Strike Rate,Team,Date
Naman Ojha,25,32,3,0,78.13,Sunrisers Hyderabad,2015-04-16
Eoin Morgan,27,30,2,1,90.00,Sunrisers Hyderabad,2015-04-16
Ravi Bopara,23,19,1,1,121.05,Sunrisers Hyderabad,2015-04-16
Ashish Reddy,13,9,0,1,144.44,Sunrisers Hyderabad,2015-04-16
Ajinkya Rahane,62,56,9,0,110.71,Rajasthan Royals,2015-04-16
Sanju Samson,26,30,2,0,86.67,Rajasthan Royals,2015-04-16
Steven Smith,13,10,2,0,130.00,Rajasthan Royals,2015-04-16
Karun Nair,1,5,0,0,20.00,Rajasthan Royals,2015-04-16
Stuart Binny,16,14,1,0,114.29,Rajasthan Royals,2015-04-16
James Faulkner,6,5,1,0,120.00,Rajasthan Royals,2015-04-16
Lendl Simmons,5,13,1,0,38.46,Mumbai Indians,2015-04-17
Parthiv Patel,0,1,0,0,0.00,Mumbai Indians,2015-04-17
Corey Anderson,4,7,1,0,57.14,Mumbai Indians,2015-04-17
Rohit Sharma,50,31,5,1,161.29,Mumbai Indians,2015-04-17
Harbhajan Singh,24,21,2,1,114.29,Mumbai Indians,2015-04-17
Kieron Pollard,64,30,4,5,213.33,Mumbai Indians,2015-04-17
Ambati Rayudu,29,16,1,3,181.25,Mumbai Indians,2015-04-17
Jagadeesha Suchith,0,0,0,0,0.00,Mumbai Indians,2015-04-17
Vinay Kumar,0,1,0,0,0.00,Mumbai Indians,2015-04-17
Dwayne Smith,62,30,8,4,206.67,Chennai Super Kings,2015-04-17
Brendon McCullum,46,20,6,2,230.00,Chennai Super Kings,2015-04-17
Suresh Raina,43,29,4,2,148.28,Chennai Super Kings,2015-04-17
Faf du Plessis,11,13,2,0,84.62,Chennai Super Kings,2015-04-17
MS Dhoni,3,6,0,0,50.00,Chennai Super Kings,2015-04-17
Dwayne Bravo,13,5,1,1,260.00,Chennai Super Kings,2015-04-17
Mayank Agarwal,1,3,0,0,33.33,Delhi Daredevils,2015-04-18
Shreyas Iyer,60,40,3,5,150.00,Delhi Daredevils,2015-04-18
Jean-Paul Duminy,54,41,5,2,131.71,Delhi Daredevils,2015-04-18
Yuvraj Singh,9,13,0,0,69.23,Delhi Daredevils,2015-04-18
Angelo Mathews,15,11,0,1,136.36,Delhi Daredevils,2015-04-18
Kedar Jadhav,19,12,1,1,158.33,Delhi Daredevils,2015-04-18
David Warner,28,20,4,0,140.00,Sunrisers Hyderabad,2015-04-18
Shikhar Dhawan,18,18,3,0,100.00,Sunrisers Hyderabad,2015-04-18
Ravi Bopara,41,30,1,3,136.67,Sunrisers Hyderabad,2015-04-18
KL Rahul,24,21,0,2,114.29,Sunrisers Hyderabad,2015-04-18
Naman Ojha,12,10,1,0,120.00,Sunrisers Hyderabad,2015-04-18
Eoin Morgan,1,2,0,0,50.00,Sunrisers Hyderabad,2015-04-18
Ashish Reddy,15,8,1,1,187.50,Sunrisers Hyderabad,2015-04-18
Karn Sharma,19,10,0,2,190.00,Sunrisers Hyderabad,2015-04-18
Praveen Kumar,1,1,0,0,100.00,Sunrisers Hyderabad,2015-04-18
Murali Vijay,0,4,0,0,0.00,Kings XI Punjab,2015-04-18
Virender Sehwag,11,10,2,0,110.00,Kings XI Punjab,2015-04-18
Wriddhiman Saha,15,11,1,1,136.36,Kings XI Punjab,2015-04-18
Glenn Maxwell,33,26,2,2,126.92,Kings XI Punjab,2015-04-18
George Bailey,60,45,5,2,133.33,Kings XI Punjab,2015-04-18
Thisara Perera,9,8,0,1,112.50,Kings XI Punjab,2015-04-18
Gurkeerat Singh Mann,11,10,0,1,110.00,Kings XI Punjab,2015-04-18
Axar Patel,2,3,0,0,66.67,Kings XI Punjab,2015-04-18
Mitchell Johnson,1,2,0,0,50.00,Kings XI Punjab,2015-04-18
Anureet Singh,0,1,0,0,0.00,Kings XI Punjab,2015-04-18
Robin Uthappa,13,10,2,0,130.00,Kolkata Knight Riders,2015-04-18
Gautam Gambhir,11,19,1,0,57.89,Kolkata Knight Riders,2015-04-18
Manish Pandey,12,6,2,0,200.00,Kolkata Knight Riders,2015-04-18
Suryakumar Yadav,23,10,2,2,230.00,Kolkata Knight Riders,2015-04-18
Yusuf Pathan,28,24,4,0,116.67,Kolkata Knight Riders,2015-04-18
Ryan ten Doeschate,0,1,0,0,0.00,Kolkata Knight Riders,2015-04-18
Andre Russell,66,36,9,2,183.33,Kolkata Knight Riders,2015-04-18
Piyush Chawla,4,1,1,0,400.00,Kolkata Knight Riders,2015-04-18
Dwayne Smith,40,29,3,2,137.93,Chennai Super Kings,2015-04-19
Brendon McCullum,12,7,3,0,171.43,Chennai Super Kings,2015-04-19
Suresh Raina,4,8,0,0,50.00,Chennai Super Kings,2015-04-19
Faf du Plessis,1,3,0,0,33.33,Chennai Super Kings,2015-04-19
Dwayne Bravo,62,36,8,1,172.22,Chennai Super Kings,2015-04-19
MS Dhoni,31,37,4,0,83.78,Chennai Super Kings,2015-04-19
Ajinkya Rahane,76,55,6,2,138.18,Rajasthan Royals,2015-04-19
Shane Watson,73,47,6,4,155.32,Rajasthan Royals,2015-04-19
Steven Smith,6,7,0,0,85.71,Rajasthan Royals,2015-04-19
Karun Nair,1,1,0,0,100.00,Rajasthan Royals,2015-04-19
Lendl Simmons,59,44,9,2,134.09,Mumbai Indians,2015-04-19
Parthiv Patel,12,13,2,0,92.31,Mumbai Indians,2015-04-19
Unmukt Chand,58,37,8,2,156.76,Mumbai Indians,2015-04-19
Rohit Sharma,42,15,3,4,280.00,Mumbai Indians,2015-04-19
Kieron Pollard,5,3,1,0,166.67,Mumbai Indians,2015-04-19
Ambati Rayudu,0,1,0,0,0.00,Mumbai Indians,2015-04-19
Harbhajan Singh,0,1,0,0,0.00,Mumbai Indians,2015-04-19
Hardik Pandya,16,6,0,2,266.67,Mumbai Indians,2015-04-19
Chris Gayle,10,24,0,0,41.67,Royal Challengers Bangalore,2015-04-19
Manvinder Bisla,20,16,3,1,125.00,Royal Challengers Bangalore,2015-04-19
Virat Kohli,18,18,1,1,100.00,Royal Challengers Bangalore,2015-04-19
Dinesh Karthik,18,11,1,1,163.64,Royal Challengers Bangalore,2015-04-19
AB de Villiers,41,11,5,3,372.73,Royal Challengers Bangalore,2015-04-19
Rilee Rossouw,0,1,0,0,0.00,Royal Challengers Bangalore,2015-04-19
David Wiese,47,25,6,2,188.00,Royal Challengers Bangalore,2015-04-19
Iqbal Abdulla,20,15,4,0,133.33,Royal Challengers Bangalore,2015-04-19
Abu Nechim,1,1,0,0,100.00,Royal Challengers Bangalore,2015-04-19
Mayank Agarwal,1,8,0,0,12.50,Delhi Daredevils,2015-04-20
Shreyas Iyer,31,24,3,1,129.17,Delhi Daredevils,2015-04-20
Jean-Paul Duminy,5,8,1,0,62.50,Delhi Daredevils,2015-04-20
Manoj Tiwary,32,28,5,0,114.29,Delhi Daredevils,2015-04-20
Yuvraj Singh,21,19,2,1,110.53,Delhi Daredevils,2015-04-20
Angelo Mathews,28,21,1,2,133.33,Delhi Daredevils,2015-04-20
Kedar Jadhav,12,9,1,1,133.33,Delhi Daredevils,2015-04-20
Nathan Coulter-Nile,2,2,0,0,100.00,Delhi Daredevils,2015-04-20
Amit Mishra,1,1,0,0,100.00,Delhi Daredevils,2015-04-20
Robin Uthappa,13,13,2,0,100.00,Kolkata Knight Riders,2015-04-20
Gautam Gambhir,60,49,8,0,122.45,Kolkata Knight Riders,2015-04-20
Manish Pandey,0,3,0,0,0.00,Kolkata Knight Riders,2015-04-20
Suryakumar Yadav,24,16,2,1,150.00,Kolkata Knight Riders,2015-04-20
Yusuf Pathan,40,26,6,1,153.85,Kolkata Knight Riders,2015-04-20
Ryan ten Doeschate,3,2,0,0,150.00,Kolkata Knight Riders,2015-04-20
Ajinkya Rahane,74,54,6,2,137.04,Rajasthan Royals,2015-04-21
Shane Watson,45,35,5,2,128.57,Rajasthan Royals,2015-04-21
Deepak Hooda,19,9,1,2,211.11,Rajasthan Royals,2015-04-21
Steven Smith,0,1,0,0,0.00,Rajasthan Royals,2015-04-21
Karun Nair,25,13,2,1,192.31,Rajasthan Royals,2015-04-21
James Faulkner,1,3,0,0,33.33,Rajasthan Royals,2015-04-21
Stuart Binny,12,4,1,1,300.00,Rajasthan Royals,2015-04-21
Sanju Samson,5,2,1,0,250.00,Rajasthan Royals,2015-04-21
Murali Vijay,21,18,0,2,116.67,Kings XI Punjab,2015-04-21
Virender Sehwag,1,4,0,0,25.00,Kings XI Punjab,2015-04-21
Shaun Marsh,65,40,5,3,162.50,Kings XI Punjab,2015-04-21
Glenn Maxwell,1,6,0,0,16.67,Kings XI Punjab,2015-04-21
David Miller,54,30,1,5,180.00,Kings XI Punjab,2015-04-21
Wriddhiman Saha,19,8,4,0,237.50,Kings XI Punjab,2015-04-21
Axar Patel,12,7,1,0,171.43,Kings XI Punjab,2015-04-21
Mitchell Johnson,13,7,1,0,185.71,Kings XI Punjab,2015-04-21
Shikhar Dhawan,54,46,4,1,117.39,Sunrisers Hyderabad,2015-04-22
David Warner,91,55,9,4,165.45,Sunrisers Hyderabad,2015-04-22
Ravi Bopara,2,4,0,0,50.00,Sunrisers Hyderabad,2015-04-22
Naman Ojha,18,8,1,2,225.00,Sunrisers Hyderabad,2015-04-22
Moises Henriques,7,5,1,0,140.00,Sunrisers Hyderabad,2015-04-22
KL Rahul,0,3,0,0,0.00,Sunrisers Hyderabad,2015-04-22
Robin Uthappa,34,21,2,2,161.90,Kolkata Knight Riders,2015-04-22
Gautam Gambhir,4,8,0,0,50.00,Kolkata Knight Riders,2015-04-22
Manish Pandey,33,24,3,1,137.50,Kolkata Knight Riders,2015-04-22
Andre Russell,19,10,1,2,190.00,Kolkata Knight Riders,2015-04-22
Yusuf Pathan,6,7,0,0,85.71,Kolkata Knight Riders,2015-04-22
Suryakumar Yadav,2,2,0,0,100.00,Kolkata Knight Riders,2015-04-22
Dwayne Smith,39,29,3,3,134.48,Chennai Super Kings,2015-04-22
Brendon McCullum,4,6,1,0,66.67,Chennai Super Kings,2015-04-22
Suresh Raina,62,32,4,6,193.75,Chennai Super Kings,2015-04-22
MS Dhoni,13,13,2,0,100.00,Chennai Super Kings,2015-04-22
Ravindra Jadeja,8,8,1,0,100.00,Chennai Super Kings,2015-04-22
Faf du Plessis,33,18,4,1,183.33,Chennai Super Kings,2015-04-22
Dwayne Bravo,5,4,1,0,125.00,Chennai Super Kings,2015-04-22
Ravichandran Ashwin,5,3,1,0,166.67,Chennai Super Kings,2015-04-22
Mohit Sharma,2,6,0,0,33.33,Chennai Super Kings,2015-04-22
Ashish Nehra,0,1,0,0,0.00,Chennai Super Kings,2015-04-22
Manvinder Bisla,17,14,3,0,121.43,Royal Challengers Bangalore,2015-04-22
Rilee Rossouw,14,9,1,1,155.56,Royal Challengers Bangalore,2015-04-22
Virat Kohli,51,42,4,2,121.43,Royal Challengers Bangalore,2015-04-22
Dinesh Karthik,10,11,1,0,90.91,Royal Challengers Bangalore,2015-04-22
AB de Villiers,14,10,0,2,140.00,Royal Challengers Bangalore,2015-04-22
Sarfaraz Khan,11,7,0,1,157.14,Royal Challengers Bangalore,2015-04-22
David Wiese,22,20,2,1,110.00,Royal Challengers Bangalore,2015-04-22
Harshal Patel,0,1,0,0,0.00,Royal Challengers Bangalore,2015-04-22
Mitchell Starc,9,6,1,0,150.00,Royal Challengers Bangalore,2015-04-22
Mayank Agarwal,1,2,0,0,50.00,Delhi Daredevils,2015-04-23
Shreyas Iyer,83,56,7,5,148.21,Delhi Daredevils,2015-04-23
Jean-Paul Duminy,78,50,3,6,156.00,Delhi Daredevils,2015-04-23
Angelo Mathews,17,8,3,0,212.50,Delhi Daredevils,2015-04-23
Yuvraj Singh,2,4,0,0,50.00,Delhi Daredevils,2015-04-23
Kedar Jadhav,1,1,0,0,100.00,Delhi Daredevils,2015-04-23
Lendl Simmons,15,14,3,0,107.14,Mumbai Indians,2015-04-23
Parthiv Patel,28,19,4,1,147.37,Mumbai Indians,2015-04-23
Unmukt Chand,14,11,2,0,127.27,Mumbai Indians,2015-04-23
Rohit Sharma,30,24,0,2,125.00,Mumbai Indians,2015-04-23
Kieron Pollard,10,8,0,1,125.00,Mumbai Indians,2015-04-23
Ambati Rayudu,30,22,3,1,136.36,Mumbai Indians,2015-04-23
Hardik Pandya,0,1,0,0,0.00,Mumbai Indians,2015-04-23
Harbhajan Singh,9,10,0,1,90.00,Mumbai Indians,2015-04-23
Mitchell McClenaghan,0,1,0,0,0.00,Mumbai Indians,2015-04-23
Lasith Malinga,6,10,1,0,60.00,Mumbai Indians,2015-04-23
Ajinkya Rahane,18,12,2,1,150.00,Rajasthan Royals,2015-04-24
Shane Watson,26,22,4,1,118.18,Rajasthan Royals,2015-04-24
Steven Smith,31,28,2,0,110.71,Rajasthan Royals,2015-04-24
Karun Nair,16,14,0,1,114.29,Rajasthan Royals,2015-04-24
Deepak Hooda,1,3,0,0,33.33,Rajasthan Royals,2015-04-24
Sanju Samson,4,7,0,0,57.14,Rajasthan Royals,2015-04-24
Stuart Binny,20,20,2,0,100.00,Rajasthan Royals,2015-04-24
James Faulkner,4,5,0,0,80.00,Rajasthan Royals,2015-04-24
Chris Morris,3,3,0,0,100.00,Rajasthan Royals,2015-04-24
Dhawal Kulkarni,1,2,0,0,50.00,Rajasthan Royals,2015-04-24
Chris Gayle,20,17,3,1,117.65,Royal Challengers Bangalore,2015-04-24
Virat Kohli,62,46,1,3,134.78,Royal Challengers Bangalore,2015-04-24
AB de Villiers,47,34,6,0,138.24,Royal Challengers Bangalore,2015-04-24
Lendl Simmons,51,42,6,1,121.43,Mumbai Indians,2015-04-25
Parthiv Patel,17,17,3,0,100.00,Mumbai Indians,2015-04-25
Unmukt Chand,5,4,1,0,125.00,Mumbai Indians,2015-04-25
Rohit Sharma,24,15,2,1,160.00,Mumbai Indians,2015-04-25
Kieron Pollard,33,24,3,1,137.50,Mumbai Indians,2015-04-25
Ambati Rayudu,7,7,1,0,100.00,Mumbai Indians,2015-04-25
Harbhajan Singh,0,4,0,0,0.00,Mumbai Indians,2015-04-25
Jagadeesha Suchith,9,5,0,0,180.00,Mumbai Indians,2015-04-25
Vinay Kumar,0,1,0,0,0.00,Mumbai Indians,2015-04-25
Mitchell McClenaghan,1,1,0,0,100.00,Mumbai Indians,2015-04-25
Shikhar Dhawan,42,29,7,1,144.83,Sunrisers Hyderabad,2015-04-25
David Warner,9,7,2,0,128.57,Sunrisers Hyderabad,2015-04-25
KL Rahul,25,27,0,1,92.59,Sunrisers Hyderabad,2015-04-25
Naman Ojha,9,9,0,0,100.00,Sunrisers Hyderabad,2015-04-25
Ravi Bopara,23,27,1,0,85.19,Sunrisers Hyderabad,2015-04-25
Hanuma Vihari,16,10,3,0,160.00,Sunrisers Hyderabad,2015-04-25
Karn Sharma,2,5,0,0,40.00,Sunrisers Hyderabad,2015-04-25
Praveen Kumar,0,2,0,0,0.00,Sunrisers Hyderabad,2015-04-25
Dale Steyn,0,1,0,0,0.00,Sunrisers Hyderabad,2015-04-25
Bhuvneshwar Kumar,6,4,1,0,150.00,Sunrisers Hyderabad,2015-04-25
Dwayne Smith,26,13,3,2,200.00,Chennai Super Kings,2015-04-25
Brendon McCullum,66,44,8,3,150.00,Chennai Super Kings,2015-04-25
Suresh Raina,29,26,4,0,111.54,Chennai Super Kings,2015-04-25
MS Dhoni,41,27,2,2,151.85,Chennai Super Kings,2015-04-25
Ravindra Jadeja,18,11,2,0,163.64,Chennai Super Kings,2015-04-25
Murali Vijay,34,32,4,1,106.25,Kings XI Punjab,2015-04-25
Virender Sehwag,1,2,0,0,50.00,Kings XI Punjab,2015-04-25
Shaun Marsh,10,10,1,0,100.00,Kings XI Punjab,2015-04-25
George Bailey,1,3,0,0,33.33,Kings XI Punjab,2015-04-25
David Miller,3,9,0,0,33.33,Kings XI Punjab,2015-04-25
