Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2014-04-16,Zaheer Khan,4,0,23,1,0,3,5.75,India,1978-10-07,MI,Abu Dhabi,2014
2014-04-16,Lasith Malinga,4,0,23,4,0,1,5.75,Sri Lanka,1983-08-28,MI,Abu Dhabi,2014
2014-04-16,Corey Anderson,3,0,33,0,0,0,11.00,New Zealand,1990-12-13,MI,Abu Dhabi,2014
2014-04-16,Pragyan Ojha,4,0,36,0,0,0,9.00,India,1986-09-05,MI,Abu Dhabi,2014
2014-04-16,Harbhajan Singh,3,0,25,0,0,0,8.33,India,1980-07-03,MI,Abu Dhabi,2014
2014-04-16,Kieron Pollard,2,0,19,0,0,0,9.50,West Indies,1987-05-12,MI,Abu Dhabi,2014
2014-04-16,Vinay Kumar,2,0,15,0,0,0,7.50,India,1984-02-12,KKR,Abu Dhabi,2014
2014-04-16,Morne Morkel,4,0,16,1,0,0,4.00,South Africa,1984-10-06,KKR,Abu Dhabi,2014
2014-04-16,Sunil Narine,4,0,20,4,0,0,5.00,West Indies,1988-05-26,KKR,Abu Dhabi,2014
2014-04-16,Shakib Al Hasan,4,0,29,1,0,0,7.25,Bangladesh,1987-03-24,KKR,Abu Dhabi,2014
2014-04-16,Jacques Kallis,3,0,23,0,0,0,7.67,South Africa,1975-10-16,KKR,Abu Dhabi,2014
2014-04-16,Piyush Chawla,3,0,15,1,0,1,5.00,India,1988-12-24,KKR,Abu Dhabi,2014
2014-04-17,Mitchell Starc,4,0,33,1,1,1,8.25,Australia,1990-01-30,RCB,Sharjah,2014
2014-04-17,Albie Morkel,3,0,18,1,0,0,6.00,South Africa,1981-06-10,RCB,Sharjah,2014
2014-04-17,Varun Aaron,3,1,9,1,0,3,3.00,India,1989-10-29,RCB,Sharjah,2014
2014-04-17,Yuzvendra Chahal,4,0,18,1,0,4,4.50,India,1990-07-23,RCB,Sharjah,2014
2014-04-17,Ashok Dinda,4,0,51,0,0,1,12.75,India,1984-03-25,RCB,Sharjah,2014
2014-04-17,Yuvraj Singh,2,0,16,0,0,0,8.00,India,1981-12-12,RCB,Sharjah,2014
2014-04-17,Jean-Paul Duminy,2,0,10,0,0,0,5.00,South Africa,1984-04-14,DD,Sharjah,2014
2014-04-17,Mohammed Shami,4,0,30,1,0,2,7.50,India,1990-09-03,DD,Sharjah,2014
2014-04-17,Wayne Parnell,3,0,19,0,0,0,6.33,South Africa,1989-07-30,DD,Sharjah,2014
2014-04-17,Shahbaz Nadeem,2.4,0,32,0,1,1,13.33,India,1989-08-12,DD,Sharjah,2014
2014-04-17,Rahul Sharma,3,0,33,1,0,0,11.00,India,1986-11-30,DD,Sharjah,2014
