Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2017-04-05,David Warner,14,8,2,1,175.00,Australia,1986-10-27,SH,Hyderabad,2017
2017-04-05,Shikhar Dhawan,40,31,5,0,129.03,India,1985-12-05,SH,Hyderabad,2017
2017-04-05,Moises Henriques,52,37,3,2,140.54,Australia,1987-02-01,SH,Hyderabad,2017
2017-04-05,Yuvraj Singh,62,27,7,3,229.63,India,1981-12-12,SH,Hyderabad,2017
2017-04-05,Deepak Hooda,16,12,0,1,133.33,India,1995-04-19,SH,Hyderabad,2017
2017-04-05,Ben Cutting,16,6,0,2,266.67,Australia,1987-01-30,SH,Hyderabad,2017
2017-04-05,Chris Gayle,32,21,2,3,152.38,West Indies,1979-09-21,RCB,Hyderabad,2017
2017-04-05,Mandeep Singh,24,16,5,0,150.00,India,1991-12-18,RCB,Hyderabad,2017
2017-04-05,Travis Head,30,22,3,0,136.36,Australia,1993-12-29,RCB,Hyderabad,2017
2017-04-05,Kedar Jadhav,31,16,4,1,193.75,India,1985-03-26,RCB,Hyderabad,2017
2017-04-05,Shane Watson,22,17,1,1,129.41,Australia,1981-06-17,RCB,Hyderabad,2017
2017-04-05,Sachin Baby,1,3,0,0,33.33,India,1988-12-18,RCB,Hyderabad,2017
2017-04-05,Stuart Binny,11,10,0,1,110.00,India,1984-06-03,RCB,Hyderabad,2017
2017-04-05,Sreenath Aravind,0,2,0,0,0.00,India,1984-04-08,RCB,Hyderabad,2017
2017-04-05,Tymal Mills,6,3,0,1,200.00,England,1992-08-12,RCB,Hyderabad,2017
2017-04-05,Yuzvendra Chahal,3,7,0,0,42.86,India,1990-07-23,RCB,Hyderabad,2017
2017-04-06,Parthiv Patel,19,14,4,0,135.71,India,1985-03-09,MI,Pune,2017
2017-04-06,Jos Buttler,38,19,3,3,200.00,England,1990-09-08,MI,Pune,2017
2017-04-06,Rohit Sharma,3,7,0,0,42.86,India,1987-04-30,MI,Pune,2017
2017-04-06,Nitish Rana,34,28,1,2,121.43,India,1993-12-27,MI,Pune,2017
2017-04-06,Ambati Rayudu,10,12,0,0,83.33,India,1985-09-23,MI,Pune,2017
2017-04-06,Krunal Pandya,3,5,0,0,60.00,India,1991-03-24,MI,Pune,2017
2017-04-06,Kieron Pollard,27,17,3,1,158.82,West Indies,1987-05-12,MI,Pune,2017
2017-04-06,Hardik Pandya,35,15,1,4,233.33,India,1993-10-11,MI,Pune,2017
2017-04-06,Tim Southee,7,3,0,1,233.33,New Zealand,1988-12-11,MI,Pune,2017
2017-04-06,Mitchell McClenaghan,0,0,0,0,0.00,New Zealand,1986-06-11,MI,Pune,2017
2017-04-06,Ajinkya Rahane,60,34,6,3,176.47,India,1988-06-06,RPS,Pune,2017
2017-04-06,Mayank Agarwal,6,5,1,0,120.00,India,1991-02-16,RPS,Pune,2017
2017-04-06,Steven Smith,84,54,7,3,155.56,Australia,1989-06-02,RPS,Pune,2017
2017-04-06,Ben Stokes,21,14,3,0,150.00,England,1991-06-04,RPS,Pune,2017
2017-04-06,MS Dhoni,12,12,1,0,100.00,India,1981-07-07,RPS,Pune,2017
2017-04-07,Jason Roy,14,12,3,0,116.67,England,1990-07-21,GL,Rajkot,2017
2017-04-07,Brendon McCullum,35,24,4,2,145.83,New Zealand,1981-09-27,GL,Rajkot,2017
2017-04-07,Suresh Raina,68,51,7,0,133.33,India,1986-11-27,GL,Rajkot,2017
2017-04-07,Aaron Finch,15,8,0,2,187.50,Australia,1986-11-17,GL,Rajkot,2017
2017-04-07,Dinesh Karthik,47,25,6,2,188.00,India,1985-06-01,GL,Rajkot,2017
2017-04-07,Dwayne Smith,0,0,0,0,0.00,West Indies,1983-04-12,GL,Rajkot,2017
2017-04-07,Gautam Gambhir,76,48,12,0,158.33,India,1981-10-14,KKR,Rajkot,2017
2017-04-07,Chris Lynn,93,41,6,8,226.83,Australia,1990-04-10,KKR,Rajkot,2017
2017-04-08,Ajinkya Rahane,19,15,1,1,126.67,India,1988-06-06,RPS,Indore,2017
2017-04-08,Mayank Agarwal,0,4,0,0,0.00,India,1991-02-16,RPS,Indore,2017
2017-04-08,Steven Smith,26,27,3,0,96.30,Australia,1989-06-02,RPS,Indore,2017
2017-04-08,Ben Stokes,50,32,2,3,156.25,England,1991-06-04,RPS,Indore,2017
2017-04-08,MS Dhoni,5,11,0,0,45.45,India,1981-07-07,RPS,Indore,2017
2017-04-08,Manoj Tiwary,40,23,3,2,173.91,India,1985-11-14,RPS,Indore,2017
2017-04-08,Daniel Christian,17,8,2,1,212.50,Australia,1983-05-04,RPS,Indore,2017
2017-04-08,Rajat Bhatia,0,0,0,0,0.00,India,1979-10-22,RPS,Indore,2017
2017-04-08,Hashim Amla,28,27,2,1,103.70,South Africa,1983-03-31,KXP,Indore,2017
2017-04-08,Manan Vohra,14,9,1,1,155.56,India,1993-07-18,KXP,Indore,2017
2017-04-08,Wriddhiman Saha,14,9,3,0,155.56,India,1984-10-24,KXP,Indore,2017
2017-04-08,Axar Patel,24,22,1,1,109.09,India,1994-01-20,KXP,Indore,2017
2017-04-08,Glenn Maxwell,44,20,2,4,220.00,Australia,1988-10-14,KXP,Indore,2017
2017-04-08,David Miller,30,27,1,2,111.11,South Africa,1989-06-10,KXP,Indore,2017
2017-04-08,Chris Gayle,6,8,1,0,75.00,West Indies,1979-09-21,RCB,Bengaluru,2017
2017-04-08,Shane Watson,24,24,4,0,100.00,Australia,1981-06-17,RCB,Bengaluru,2017
2017-04-08,Mandeep Singh,12,10,3,0,120.00,India,1991-12-18,RCB,Bengaluru,2017
2017-04-08,Kedar Jadhav,69,37,5,5,186.49,India,1985-03-26,RCB,Bengaluru,2017
2017-04-08,Stuart Binny,16,18,1,0,88.89,India,1984-06-03,RCB,Bengaluru,2017
2017-04-08,Vishnu Vinod,9,5,0,1,180.00,India,1993-12-02,RCB,Bengaluru,2017
2017-04-08,Pawan Negi,10,8,0,1,125.00,India,1993-01-06,RCB,Bengaluru,2017
2017-04-08,Iqbal Abdulla,5,7,0,0,71.43,India,1989-12-02,RCB,Bengaluru,2017
2017-04-08,Tymal Mills,0,3,0,0,0.00,England,1992-08-12,RCB,Bengaluru,2017
2017-04-08,Aditya Tare,18,17,3,0,105.88,India,1987-11-07,DD,Bengaluru,2017
2017-04-08,Sam Billings,25,19,1,1,131.58,England,1991-06-15,DD,Bengaluru,2017
2017-04-08,Karun Nair,4,3,1,0,133.33,India,1991-12-06,DD,Bengaluru,2017
2017-04-08,Sanju Samson,13,12,1,0,108.33,India,1994-11-11,DD,Bengaluru,2017
2017-04-08,Rishabh Pant,57,36,3,4,158.33,India,1997-10-04,DD,Bengaluru,2017
2017-04-08,Chris Morris,4,5,0,0,80.00,South Africa,1987-04-30,DD,Bengaluru,2017
2017-04-08,Carlos Brathwaite,1,5,0,0,20.00,West Indies,1988-07-18,DD,Bengaluru,2017
2017-04-08,Pat Cummins,6,6,1,0,100.00,Australia,1993-05-08,DD,Bengaluru,2017
2017-04-08,Amit Mishra,8,14,0,0,57.14,India,1982-11-24,DD,Bengaluru,2017
2017-04-08,Shahbaz Nadeem,0,2,0,0,0.00,India,1989-08-12,DD,Bengaluru,2017
2017-04-09,Jason Roy,31,21,5,0,147.62,England,1990-07-21,GL,Hyderabad,2017
2017-04-09,Brendon McCullum,5,10,0,0,50.00,New Zealand,1981-09-27,GL,Hyderabad,2017
2017-04-09,Suresh Raina,5,8,0,0,62.50,India,1986-11-27,GL,Hyderabad,2017
2017-04-09,Aaron Finch,3,5,0,0,60.00,Australia,1986-11-17,GL,Hyderabad,2017
