Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2023-03-31,Devon Conway,1,6,0,0,16.67,New Zealand,1991-07-08,CSK,Ahmedabad,2023
2023-03-31,Ruturaj Gaikwad,92,50,4,9,184.00,India,1997-01-31,CSK,Ahmedabad,2023
2023-03-31,Moeen Ali,23,17,4,1,135.29,England,1987-06-18,CSK,Ahmedabad,2023
2023-03-31,Ben Stokes,7,6,1,0,116.67,England,1991-06-04,CSK,Ahmedabad,2023
2023-03-31,Ambati Rayudu,12,12,0,1,100.00,India,1985-09-23,CSK,Ahmedabad,2023
2023-03-31,Shivam Dube,19,18,0,1,105.56,India,1993-06-26,CSK,Ahmedabad,2023
2023-03-31,Ravindra Jadeja,1,2,0,0,50.00,India,1988-12-06,CSK,Ahmedabad,2023
2023-03-31,MS Dhoni,14,7,1,1,200.00,India,1981-07-07,CSK,Ahmedabad,2023
2023-03-31,Mitchell Santner,1,3,0,0,33.33,New Zealand,1992-02-05,CSK,Ahmedabad,2023
2023-03-31,Wriddhiman Saha,25,16,2,2,156.25,India,1984-10-24,GT,Ahmedabad,2023
2023-03-31,Shubman Gill,63,36,6,3,175.00,India,1999-09-08,GT,Ahmedabad,2023
2023-03-31,Sai Sudharsan,22,17,3,0,129.41,India,2001-10-15,GT,Ahmedabad,2023
2023-03-31,Hardik Pandya,8,11,0,0,72.73,India,1993-10-11,GT,Ahmedabad,2023
2023-03-31,Vijay Shankar,27,21,2,1,128.57,India,1991-01-26,GT,Ahmedabad,2023
2023-03-31,Rahul Tewatia,15,14,1,1,107.14,India,1993-05-20,GT,Ahmedabad,2023
2023-03-31,Rashid Khan,10,3,1,1,333.33,Afghanistan,1998-09-20,GT,Ahmedabad,2023
2023-04-01,Prabhsimran Singh,23,12,2,2,191.67,India,2000-08-10,PK,Mohali,2023
2023-04-01,Shikhar Dhawan,40,29,6,0,137.93,India,1985-12-05,PK,Mohali,2023
2023-04-01,Bhanuka Rajapaksa,50,32,5,2,156.25,Sri Lanka,1991-10-24,PK,Mohali,2023
2023-04-01,Jitesh Sharma,21,11,1,2,190.91,India,1993-10-22,PK,Mohali,2023
2023-04-01,Sikandar Raza,16,13,1,1,123.08,Zimbabwe,1986-04-24,PK,Mohali,2023
2023-04-01,Sam Curran,26,17,0,2,152.94,England,1998-06-03,PK,Mohali,2023
2023-04-01,Shahrukh Khan,11,7,2,0,157.14,India,1995-05-27,PK,Mohali,2023
2023-04-01,Mandeep Singh,2,4,0,0,50.00,India,1991-12-18,KKR,Mohali,2023
2023-04-01,Rahmanullah Gurbaz,22,16,3,1,137.50,Afghanistan,2001-11-28,KKR,Mohali,2023
2023-04-01,Anukul Roy,4,5,1,0,80.00,India,1998-11-30,KKR,Mohali,2023
2023-04-01,Venkatesh Iyer,34,28,3,1,121.43,India,1994-12-25,KKR,Mohali,2023
2023-04-01,Nitish Rana,24,17,3,1,141.18,India,1993-12-27,KKR,Mohali,2023
2023-04-01,Rinku Singh,4,4,0,0,100.00,India,1997-10-12,KKR,Mohali,2023
2023-04-01,Andre Russell,35,19,3,2,184.21,West Indies,1988-04-29,KKR,Mohali,2023
2023-04-01,Shardul Thakur,8,3,0,1,266.67,India,1991-10-16,KKR,Mohali,2023
2023-04-01,Sunil Narine,7,2,0,1,350.00,West Indies,1988-05-26,KKR,Mohali,2023
2023-04-01,KL Rahul,8,12,0,1,66.67,India,1992-04-18,LSG,Lucknow,2023
2023-04-01,Kyle Mayers,73,38,2,7,192.11,West Indies,1992-09-08,LSG,Lucknow,2023
2023-04-01,Deepak Hooda,17,18,0,0,94.44,India,1995-04-19,LSG,Lucknow,2023
2023-04-01,Krunal Pandya,15,13,0,1,115.38,India,1991-03-24,LSG,Lucknow,2023
2023-04-01,Marcus Stoinis,12,10,0,1,120.00,Australia,1989-08-16,LSG,Lucknow,2023
2023-04-01,Nicholas Pooran,36,21,2,3,171.43,West Indies,1995-10-02,LSG,Lucknow,2023
2023-04-01,Ayush Badoni,18,7,1,2,257.14,India,1999-12-03,LSG,Lucknow,2023
2023-04-01,Krishnappa Gowtham,6,1,0,1,600.00,India,1988-10-20,LSG,Lucknow,2023
2023-04-01,Prithvi Shaw,12,9,2,0,133.33,India,1999-11-09,DC,Lucknow,2023
2023-04-01,David Warner,56,48,7,0,116.67,Australia,1986-10-27,DC,Lucknow,2023
2023-04-01,Mitchell Marsh,0,1,0,0,0.00,Australia,1991-10-20,DC,Lucknow,2023
2023-04-01,Sarfaraz Khan,4,9,1,0,44.44,India,1997-10-22,DC,Lucknow,2023
2023-04-01,Rilee Rossouw,30,20,3,1,150.00,South Africa,1989-10-09,DC,Lucknow,2023
2023-04-01,Rovman Powell,1,3,0,0,33.33,West Indies,1993-07-23,DC,Lucknow,2023
2023-04-01,Aman Hakim Khan,4,5,0,0,80.00,India,1996-11-23,DC,Lucknow,2023
2023-04-01,Axar Patel,16,11,1,1,145.45,India,1994-01-20,DC,Lucknow,2023
2023-04-01,Kuldeep Yadav,6,10,0,0,60.00,India,1994-12-14,DC,Lucknow,2023
2023-04-01,Chetan Sakariya,4,4,1,0,100.00,India,1998-02-28,DC,Lucknow,2023
2023-04-01,Mukesh Kumar,0,1,0,0,0.00,India,1993-10-12,DC,Lucknow,2023
2023-04-02,Yashasvi Jaiswal,54,37,9,0,145.95,India,2001-12-28,RR,Hyderabad,2023
2023-04-02,Jos Buttler,54,22,7,3,245.45,England,1990-09-08,RR,Hyderabad,2023
2023-04-02,Sanju Samson,55,32,3,4,171.88,India,1994-11-11,RR,Hyderabad,2023
2023-04-02,Devdutt Padikkal,2,5,0,0,40.00,India,2000-07-07,RR,Hyderabad,2023
2023-04-02,Riyan Parag,7,6,1,0,116.67,India,2001-11-10,RR,Hyderabad,2023
