Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2022-03-26,Umesh Yadav,4,0,20,2,1,2,5.00,India,1987-10-25,KKR,Mumbai,2022
2022-03-26,Shivam Mavi,4,0,35,0,1,1,8.80,India,1998-11-26,KKR,Mumbai,2022
2022-03-26,Varun Chakaravarthy,4,0,23,1,0,1,5.80,India,1991-08-29,KKR,Mumbai,2022
2022-03-26,Sunil Narine,4,0,15,0,0,0,3.80,West Indies,1988-05-26,KKR,Mumbai,2022
2022-03-26,Andre Russell,4,0,38,1,0,0,9.50,West Indies,1988-04-29,KKR,Mumbai,2022
2022-03-26,Tushar Deshpande,3,0,23,0,0,0,7.70,India,1995-05-15,CSK,Mumbai,2022
2022-03-26,Adam Milne,2.3,0,19,0,0,0,7.60,New Zealand,1992-04-13,CSK,Mumbai,2022
2022-03-26,Mitchell Santner,4,0,31,1,0,0,7.80,New Zealand,1992-02-05,CSK,Mumbai,2022
2022-03-26,Dwayne Bravo,4,0,20,3,0,0,5.00,West Indies,1983-10-07,CSK,Mumbai,2022
2022-03-26,Shivam Dube,1,0,11,0,0,0,11.00,India,1993-06-26,CSK,Mumbai,2022
2022-03-26,Ravindra Jadeja,4,0,25,0,0,0,6.20,India,1988-12-06,CSK,Mumbai,2022
2022-03-27,Shardul Thakur,4,0,47,0,0,1,11.80,India,1991-10-16,DC,Mumbai,2022
2022-03-27,Khaleel Ahmed,4,0,27,2,0,0,6.80,India,1997-12-05,DC,Mumbai,2022
2022-03-27,Axar Patel,4,0,40,0,0,0,10.00,India,1994-01-20,DC,Mumbai,2022
2022-03-27,Kamlesh Nagarkoti,2,0,29,0,0,1,14.50,India,1999-12-28,DC,Mumbai,2022
2022-03-27,Kuldeep Yadav,4,0,18,3,0,0,4.50,India,1994-12-14,DC,Mumbai,2022
2022-03-27,Lalit Yadav,2,0,15,0,0,0,7.50,India,1997-01-03,DC,Mumbai,2022
2022-03-27,Daniel Sams,4,0,57,0,0,2,14.20,Australia,1992-10-27,MI,Mumbai,2022
2022-03-27,Jasprit Bumrah,3.2,0,43,0,0,0,12.90,India,1993-12-06,MI,Mumbai,2022
2022-03-27,Basil Thampi,4,0,35,3,0,3,8.80,India,1993-09-11,MI,Mumbai,2022
2022-03-27,Murugan Ashwin,4,0,14,2,0,0,3.50,India,1990-09-08,MI,Mumbai,2022
2022-03-27,Tymal Mills,3,0,26,1,0,2,8.70,England,1992-08-12,MI,Mumbai,2022
