Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2017-04-05,Tymal Mills,4,0,31,1,0,2,7.80,England,1992-08-12,RCB,Hyderabad,2017
2017-04-05,Aniket Choudhary,4,0,55,1,1,3,13.80,India,1990-01-28,RCB,Hyderabad,2017
2017-04-05,Yuzvendra Chahal,4,0,22,1,0,0,5.50,India,1990-07-23,RCB,Hyderabad,2017
2017-04-05,Sreenath Aravind,3,0,36,0,0,0,12.00,India,1984-04-08,RCB,Hyderabad,2017
2017-04-05,Shane Watson,3,0,41,0,0,0,13.70,Australia,1981-06-17,RCB,Hyderabad,2017
2017-04-05,Travis Head,1,0,11,0,0,0,11.00,Australia,1993-12-29,RCB,Hyderabad,2017
2017-04-05,Stuart Binny,1,0,10,1,0,0,10.00,India,1984-06-03,RCB,Hyderabad,2017
2017-04-05,Ashish Nehra,4,0,42,2,0,1,10.50,India,1979-04-29,SH,Hyderabad,2017
2017-04-05,Bhuvneshwar Kumar,4,0,27,2,0,1,6.80,India,1990-02-05,SH,Hyderabad,2017
2017-04-05,Ben Cutting,3.4,0,35,0,0,2,9.50,Australia,1987-01-30,SH,Hyderabad,2017
2017-04-05,Rashid Khan,4,0,36,2,0,0,9.00,Afghanistan,1998-09-20,SH,Hyderabad,2017
2017-04-05,Deepak Hooda,1,0,7,1,0,0,7.00,India,1995-04-19,SH,Hyderabad,2017
2017-04-05,Moises Henriques,2,0,20,0,1,0,10.00,Australia,1987-02-01,SH,Hyderabad,2017
2017-04-05,Bipul Sharma,1,0,4,1,0,0,4.00,India,1983-09-28,SH,Hyderabad,2017
2017-04-06,Ashok Dinda,4,0,57,0,0,3,14.20,India,1984-03-25,RPS,Pune,2017
2017-04-06,Deepak Chahar,2,0,21,0,0,0,10.50,India,1992-08-07,RPS,Pune,2017
2017-04-06,Ben Stokes,4,0,36,1,0,2,9.00,England,1991-06-04,RPS,Pune,2017
2017-04-06,Imran Tahir,4,0,28,3,0,0,7.00,South Africa,1979-03-27,RPS,Pune,2017
2017-04-06,Adam Zampa,3,0,26,1,0,1,8.70,Australia,1992-03-31,RPS,Pune,2017
2017-04-06,Rajat Bhatia,3,0,14,2,0,0,4.70,India,1979-10-22,RPS,Pune,2017
2017-04-06,Tim Southee,4,0,34,1,0,2,8.50,New Zealand,1988-12-11,MI,Pune,2017
2017-04-06,Hardik Pandya,4,0,36,1,0,0,9.00,India,1993-10-11,MI,Pune,2017
2017-04-06,Mitchell McClenaghan,4,0,36,1,0,0,9.00,New Zealand,1986-06-11,MI,Pune,2017
2017-04-06,Jasprit Bumrah,4,0,29,0,0,0,7.20,India,1993-12-06,MI,Pune,2017
2017-04-06,Krunal Pandya,2,0,21,0,0,0,10.50,India,1991-03-24,MI,Pune,2017
2017-04-06,Kieron Pollard,1.5,0,30,0,0,1,16.40,West Indies,1987-05-12,MI,Pune,2017
2017-04-08,Sandeep Sharma,4,0,33,2,0,0,8.20,India,1993-05-18,KXP,Indore,2017
2017-04-08,Mohit Sharma,4,0,34,0,0,0,8.50,India,1988-09-18,KXP,Indore,2017
2017-04-08,Axar Patel,4,0,27,1,0,2,6.80,India,1994-01-20,KXP,Indore,2017
2017-04-08,T Natarajan,3,0,26,1,0,0,8.70,India,1991-04-04,KXP,Indore,2017
2017-04-08,Marcus Stoinis,3,0,28,1,0,3,9.30,Australia,1989-08-16,KXP,Indore,2017
2017-04-08,Swapnil Singh,2,0,14,1,0,0,7.00,India,1991-01-22,KXP,Indore,2017
2017-04-08,Ashok Dinda,3,0,26,1,0,0,8.70,India,1984-03-25,RPS,Indore,2017
2017-04-08,Daniel Christian,2,0,24,0,0,2,12.00,Australia,1983-05-04,RPS,Indore,2017
2017-04-08,Ben Stokes,4,0,32,0,0,1,8.00,England,1991-06-04,RPS,Indore,2017
2017-04-08,Imran Tahir,4,0,29,2,0,0,7.20,South Africa,1979-03-27,RPS,Indore,2017
2017-04-08,Rahul Chahar,4,0,32,1,0,4,8.00,India,1999-08-04,RPS,Indore,2017
2017-04-08,Rajat Bhatia,2,0,20,0,0,2,10.00,India,1979-10-22,RPS,Indore,2017
2017-04-08,Zaheer Khan,4,0,31,2,0,1,7.80,India,1978-10-07,DD,Bengaluru,2017
2017-04-08,Chris Morris,4,0,21,3,0,0,5.20,South Africa,1987-04-30,DD,Bengaluru,2017
2017-04-08,Pat Cummins,4,0,29,1,0,1,7.20,Australia,1993-05-08,DD,Bengaluru,2017
2017-04-08,Shahbaz Nadeem,4,0,13,1,0,1,3.20,India,1989-08-12,DD,Bengaluru,2017
2017-04-08,Amit Mishra,2,0,32,0,0,0,16.00,India,1982-11-24,DD,Bengaluru,2017
2017-04-08,Carlos Brathwaite,2,0,29,0,0,1,14.50,West Indies,1988-07-18,DD,Bengaluru,2017
2017-04-08,Billy Stanlake,4,0,29,2,0,1,7.20,Australia,1994-11-04,RCB,Bengaluru,2017
2017-04-08,Yuzvendra Chahal,4,0,19,1,0,0,4.80,India,1990-07-23,RCB,Bengaluru,2017
2017-04-08,Iqbal Abdulla,3,0,36,2,0,3,12.00,India,1989-12-02,RCB,Bengaluru,2017
2017-04-08,Tymal Mills,4,0,33,1,0,0,8.20,England,1992-08-12,RCB,Bengaluru,2017
2017-04-08,Shane Watson,4,0,21,1,0,0,5.20,Australia,1981-06-17,RCB,Bengaluru,2017
2017-04-08,Pawan Negi,1,0,3,2,0,0,3.00,India,1993-01-06,RCB,Bengaluru,2017
2017-04-09,Bipul Sharma,4,0,24,0,0,0,6.00,India,1983-09-28,SH,Hyderabad,2017
2017-04-09,Bhuvneshwar Kumar,4,0,21,2,0,0,5.20,India,1990-02-05,SH,Hyderabad,2017
