Name,Runs,Balls,Fours,Sixes,Strike Rate,Team,Date
Sourav Ganguly,10,12,2,0,83.33,Kolkata Knight Riders,2008-04-18
Brendon McCullum,158,73,10,13,216.44,Kolkata Knight Riders,2008-04-18
Ricky Ponting,20,20,1,1,100.00,Kolkata Knight Riders,2008-04-18
David Hussey,12,12,1,0,100.00,Kolkata Knight Riders,2008-04-18
Mohammad Hafeez,5,3,1,0,166.67,Kolkata Knight Riders,2008-04-18
Rahul Dravid,2,3,0,0,66.67,Royal Challengers Bangalore,2008-04-18
Wasim Jaffer,6,16,0,0,37.50,Royal Challengers Bangalore,2008-04-18
Virat Kohli,1,5,0,0,20.00,Royal Challengers Bangalore,2008-04-18
Jacques Kallis,8,7,0,1,114.29,Royal Challengers Bangalore,2008-04-18
Cameron White,6,10,0,0,60.00,Royal Challengers Bangalore,2008-04-18
Mark Boucher,7,9,1,0,77.78,Royal Challengers Bangalore,2008-04-18
Balachandra Akhil,0,2,0,0,0.00,Royal Challengers Bangalore,2008-04-18
Ashley Noffke,9,10,1,0,90.00,Royal Challengers Bangalore,2008-04-18
Praveen Kumar,18,15,1,2,120.00,Royal Challengers Bangalore,2008-04-18
Zaheer Khan,3,8,0,0,37.50,Royal Challengers Bangalore,2008-04-18
S Badrinath,31,14,3,2,221.43,Chennai Super Kings,2008-04-19
Jacob Oram,13,10,0,1,130.00,Chennai Super Kings,2008-04-19
Suresh Raina,32,13,2,3,246.15,Chennai Super Kings,2008-04-19
Michael Hussey,116,54,8,9,214.81,Chennai Super Kings,2008-04-19
MS Dhoni,2,3,0,0,66.67,Chennai Super Kings,2008-04-19
Parthiv Patel,15,10,3,0,150.00,Chennai Super Kings,2008-04-19
Irfan Pathan,3,5,0,0,60.00,Kings XI Punjab,2008-04-19
Karan Goel,24,19,2,1,126.32,Kings XI Punjab,2008-04-19
Simon Katich,21,17,0,1,123.53,Kings XI Punjab,2008-04-19
Yuvraj Singh,23,13,1,2,176.92,Kings XI Punjab,2008-04-19
Kumar Sangakkara,54,33,5,2,163.64,Kings XI Punjab,2008-04-19
Ravindra Jadeja,29,23,2,2,126.09,Rajasthan Royals,2008-04-19
Darren Lehmann,1,2,0,0,50.00,Rajasthan Royals,2008-04-19
Shane Watson,21,15,4,0,140.00,Rajasthan Royals,2008-04-19
Mohammad Kaif,9,19,0,0,47.37,Rajasthan Royals,2008-04-19
Yusuf Pathan,10,5,2,0,200.00,Rajasthan Royals,2008-04-19
Taruwar Kohli,7,12,0,1,58.33,Rajasthan Royals,2008-04-19
Siddharth Trivedi,3,7,0,0,42.86,Rajasthan Royals,2008-04-19
Shane Warne,14,13,2,0,107.69,Rajasthan Royals,2008-04-19
Dinesh Salunkhe,26,20,4,0,130.00,Rajasthan Royals,2008-04-19
Gautam Gambhir,58,46,7,1,126.09,Delhi Daredevils,2008-04-19
Shikhar Dhawan,52,41,8,0,126.83,Delhi Daredevils,2008-04-19
Pragyan Ojha,0,0,0,0,0.00,Deccan Chargers,2008-04-20
RP Singh,1,2,0,0,50.00,Deccan Chargers,2008-04-20
Chaminda Vaas,0,1,0,0,0.00,Deccan Chargers,2008-04-20
Arjun Yadav,10,10,0,1,100.00,Deccan Chargers,2008-04-20
Sanjay Bangar,14,10,1,1,140.00,Deccan Chargers,2008-04-20
Scott Styris,6,7,1,0,85.71,Deccan Chargers,2008-04-20
Rohit Sharma,0,3,0,0,0.00,Deccan Chargers,2008-04-20
Andrew Symonds,32,39,2,2,82.05,Deccan Chargers,2008-04-20
VVS Laxman,0,6,0,0,0.00,Deccan Chargers,2008-04-20
Adam Gilchrist,23,22,1,2,104.55,Deccan Chargers,2008-04-20
