Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2020-09-19,Rohit Sharma,12,10,2,0,120.00,India,1987-04-30,MI,Abu Dhabi,2020
2020-09-19,Quinton de Kock,33,20,5,0,165.00,South Africa,1992-12-17,MI,Abu Dhabi,2020
2020-09-19,Suryakumar Yadav,17,16,2,0,106.25,India,1990-09-14,MI,Abu Dhabi,2020
2020-09-19,Saurabh Tiwary,42,31,3,1,135.48,India,1989-12-30,MI,Abu Dhabi,2020
2020-09-19,Hardik Pandya,14,10,0,2,140.00,India,1993-10-11,MI,Abu Dhabi,2020
2020-09-19,Kieron Pollard,18,14,1,1,128.57,West Indies,1987-05-12,MI,Abu Dhabi,2020
2020-09-19,Krunal Pandya,3,3,0,0,100.00,India,1991-03-24,MI,Abu Dhabi,2020
2020-09-19,James Pattinson,11,8,2,0,137.50,Australia,1990-05-03,MI,Abu Dhabi,2020
2020-09-19,Rahul Chahar,2,4,0,0,50.00,India,1999-08-04,MI,Abu Dhabi,2020
2020-09-19,Trent Boult,0,1,0,0,0.00,New Zealand,1989-07-22,MI,Abu Dhabi,2020
2020-09-19,Murali Vijay,1,7,0,0,14.29,India,1984-04-01,CSK,Abu Dhabi,2020
2020-09-19,Shane Watson,4,5,1,0,80.00,Australia,1981-06-17,CSK,Abu Dhabi,2020
2020-09-19,Faf du Plessis,58,44,6,0,131.82,South Africa,1984-07-13,CSK,Abu Dhabi,2020
2020-09-19,Ambati Rayudu,71,48,6,3,147.92,India,1985-09-23,CSK,Abu Dhabi,2020
2020-09-19,Ravindra Jadeja,10,5,2,0,200.00,India,1988-12-06,CSK,Abu Dhabi,2020
2020-09-19,Sam Curran,18,6,1,2,300.00,England,1998-06-03,CSK,Abu Dhabi,2020
2020-09-19,MS Dhoni,0,2,0,0,0.00,India,1981-07-07,CSK,Abu Dhabi,2020
2020-09-20,Prithvi Shaw,5,9,1,0,55.56,India,1999-11-09,DC,Dubai,2020
2020-09-20,Shikhar Dhawan,0,2,0,0,0.00,India,1985-12-05,DC,Dubai,2020
2020-09-20,Shimron Hetmyer,7,13,1,0,53.85,West Indies,1996-12-26,DC,Dubai,2020
2020-09-20,Shreyas Iyer,39,32,0,3,121.88,India,1994-12-06,DC,Dubai,2020
2020-09-20,Rishabh Pant,31,29,4,0,106.90,India,1997-10-04,DC,Dubai,2020
2020-09-20,Marcus Stoinis,53,21,7,3,252.38,Australia,1989-08-16,DC,Dubai,2020
2020-09-20,Axar Patel,6,9,0,0,66.67,India,1994-01-20,DC,Dubai,2020
2020-09-20,Ravichandran Ashwin,4,6,0,0,66.67,India,1986-09-17,DC,Dubai,2020
2020-09-20,Kagiso Rabada,0,0,0,0,0.00,South Africa,1995-05-25,DC,Dubai,2020
2020-09-20,Anrich Nortje,3,1,0,0,300.00,South Africa,1993-11-16,DC,Dubai,2020
2020-09-20,KL Rahul,21,19,2,1,110.53,India,1992-04-18,KXP,Dubai,2020
2020-09-20,Mayank Agarwal,89,60,7,4,148.33,India,1991-02-16,KXP,Dubai,2020
2020-09-20,Karun Nair,1,3,0,0,33.33,India,1991-12-06,KXP,Dubai,2020
2020-09-20,Nicholas Pooran,0,3,0,0,0.00,West Indies,1995-10-02,KXP,Dubai,2020
2020-09-20,Glenn Maxwell,1,4,0,0,25.00,Australia,1988-10-14,KXP,Dubai,2020
2020-09-20,Sarfaraz Khan,12,12,2,0,100.00,India,1997-10-22,KXP,Dubai,2020
2020-09-20,Krishnappa Gowtham,20,14,1,1,142.86,India,1988-10-20,KXP,Dubai,2020
2020-09-20,Chris Jordan,5,6,0,0,83.33,England,1988-10-04,KXP,Dubai,2020
2020-09-20,Mohammed Shami,0,0,0,0,0.00,India,1990-09-03,KXP,Dubai,2020
2020-09-21,Devdutt Padikkal,56,42,8,0,133.33,India,2000-07-07,RCB,Dubai,2020
2020-09-21,Aaron Finch,29,27,1,2,107.41,Australia,1986-11-17,RCB,Dubai,2020
2020-09-21,Virat Kohli,14,13,0,0,107.69,India,1988-11-05,RCB,Dubai,2020
2020-09-21,AB de Villiers,51,30,4,2,170.00,South Africa,1984-02-17,RCB,Dubai,2020
2020-09-21,Shivam Dube,7,8,0,0,87.50,India,1993-06-26,RCB,Dubai,2020
2020-09-21,Josh Philippe,1,2,0,0,50.00,Australia,1997-06-01,RCB,Dubai,2020
2020-09-21,David Warner,6,6,1,0,100.00,Australia,1986-10-27,SH,Dubai,2020
2020-09-21,Jonny Bairstow,61,43,6,2,141.86,England,1989-09-26,SH,Dubai,2020
2020-09-21,Manish Pandey,34,33,3,1,103.03,India,1989-09-10,SH,Dubai,2020
2020-09-21,Priyam Garg,12,13,1,0,92.31,India,2000-11-30,SH,Dubai,2020
2020-09-21,Vijay Shankar,0,1,0,0,0.00,India,1991-01-26,SH,Dubai,2020
2020-09-21,Abhishek Sharma,7,4,1,0,175.00,India,2000-09-04,SH,Dubai,2020
2020-09-21,Rashid Khan,6,5,1,0,120.00,Afghanistan,1998-09-20,SH,Dubai,2020
2020-09-21,Bhuvneshwar Kumar,0,2,0,0,0.00,India,1990-02-05,SH,Dubai,2020
2020-09-21,Sandeep Sharma,9,6,1,0,150.00,India,1993-05-18,SH,Dubai,2020
2020-09-21,Mitchell Marsh,0,1,0,0,0.00,Australia,1991-10-20,SH,Dubai,2020
2020-09-22,Yashasvi Jaiswal,6,6,1,0,100.00,India,2001-12-28,RR,Sharjah,2020
2020-09-22,Steven Smith,69,47,4,4,146.81,Australia,1989-06-02,RR,Sharjah,2020
2020-09-22,Sanju Samson,74,32,1,9,231.25,India,1994-11-11,RR,Sharjah,2020
2020-09-22,David Miller,0,0,0,0,0.00,South Africa,1989-06-10,RR,Sharjah,2020
2020-09-22,Robin Uthappa,5,9,0,0,55.56,India,1985-11-11,RR,Sharjah,2020
2020-09-22,Rahul Tewatia,10,8,1,0,125.00,India,1993-05-20,RR,Sharjah,2020
2020-09-22,Riyan Parag,6,4,1,0,150.00,India,2001-11-10,RR,Sharjah,2020
2020-09-22,Tom Curran,10,9,1,0,111.11,England,1995-03-12,RR,Sharjah,2020
