Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2020-09-19,Deepak Chahar,4,0,32,2,0,1,8.00,India,1992-08-07,CSK,Abu Dhabi,2020
2020-09-19,Sam Curran,4,0,28,1,0,0,7.00,England,1998-06-03,CSK,Abu Dhabi,2020
2020-09-19,Lungi Ngidi,4,0,38,3,0,2,9.50,South Africa,1996-03-29,CSK,Abu Dhabi,2020
2020-09-19,Piyush Chawla,4,0,21,1,0,1,5.20,India,1988-12-24,CSK,Abu Dhabi,2020
2020-09-19,Ravindra Jadeja,4,0,42,2,0,0,10.50,India,1988-12-06,CSK,Abu Dhabi,2020
2020-09-19,Trent Boult,3.2,0,23,1,0,0,6.90,New Zealand,1989-07-22,MI,Abu Dhabi,2020
2020-09-19,James Pattinson,4,0,27,1,0,1,6.80,Australia,1990-05-03,MI,Abu Dhabi,2020
2020-09-19,Jasprit Bumrah,4,0,43,1,1,1,10.80,India,1993-12-06,MI,Abu Dhabi,2020
2020-09-19,Krunal Pandya,4,0,37,1,0,1,9.20,India,1991-03-24,MI,Abu Dhabi,2020
2020-09-19,Rahul Chahar,4,0,36,1,0,0,9.00,India,1999-08-04,MI,Abu Dhabi,2020
2020-09-20,Sheldon Cottrell,4,0,24,2,0,1,6.00,West Indies,1989-08-19,KXP,Dubai,2020
2020-09-20,Mohammed Shami,4,0,15,3,1,1,3.80,India,1990-09-03,KXP,Dubai,2020
2020-09-20,Chris Jordan,4,0,56,0,1,3,14.00,England,1988-10-04,KXP,Dubai,2020
2020-09-20,Krishnappa Gowtham,4,0,39,0,0,0,9.80,India,1988-10-20,KXP,Dubai,2020
2020-09-20,Ravi Bishnoi,4,0,22,1,0,1,5.50,India,2000-09-05,KXP,Dubai,2020
2020-09-20,Anrich Nortje,4,0,33,0,0,0,8.20,South Africa,1993-11-16,DC,Dubai,2020
