Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2014-04-16,Gautam Gambhir,0,8,0,0,0.00,India,1981-10-14,KKR,Abu Dhabi,2014
2014-04-16,Jacques Kallis,72,46,5,3,156.52,South Africa,1975-10-16,KKR,Abu Dhabi,2014
2014-04-16,Manish Pandey,64,53,6,2,120.75,India,1989-09-10,KKR,Abu Dhabi,2014
2014-04-16,Robin Uthappa,1,2,0,0,50.00,India,1985-11-11,KKR,Abu Dhabi,2014
2014-04-16,Yusuf Pathan,4,4,0,0,100.00,India,1982-11-17,KKR,Abu Dhabi,2014
2014-04-16,Shakib Al Hasan,1,2,0,0,50.00,Bangladesh,1987-03-24,KKR,Abu Dhabi,2014
2014-04-16,Suryakumar Yadav,13,5,3,0,260.00,India,1990-09-14,KKR,Abu Dhabi,2014
2014-04-16,Michael Hussey,3,13,0,0,23.08,Australia,1975-05-27,MI,Abu Dhabi,2014
2014-04-16,Aditya Tare,24,22,2,1,109.09,India,1987-11-07,MI,Abu Dhabi,2014
2014-04-16,Ambati Rayudu,48,40,4,0,120.00,India,1985-09-23,MI,Abu Dhabi,2014
2014-04-16,Rohit Sharma,27,20,0,1,135.00,India,1987-04-30,MI,Abu Dhabi,2014
2014-04-16,Kieron Pollard,6,8,0,0,75.00,West Indies,1987-05-12,MI,Abu Dhabi,2014
2014-04-16,Corey Anderson,2,8,0,0,25.00,New Zealand,1990-12-13,MI,Abu Dhabi,2014
2014-04-16,Harbhajan Singh,0,2,0,0,0.00,India,1980-07-03,MI,Abu Dhabi,2014
2014-04-16,CM Gautam,7,7,1,0,100.00,India,1986-03-08,MI,Abu Dhabi,2014
2014-04-17,Mayank Agarwal,6,10,0,0,60.00,India,1991-02-16,DD,Sharjah,2014
2014-04-17,Murali Vijay,18,20,1,1,90.00,India,1984-04-01,DD,Sharjah,2014
2014-04-17,Dinesh Karthik,0,1,0,0,0.00,India,1985-06-01,DD,Sharjah,2014
2014-04-17,Manoj Tiwary,1,3,0,0,33.33,India,1985-11-14,DD,Sharjah,2014
2014-04-17,Jean-Paul Duminy,67,48,4,3,139.58,South Africa,1984-04-14,DD,Sharjah,2014
2014-04-17,Ross Taylor,43,39,4,0,110.26,New Zealand,1984-03-08,DD,Sharjah,2014
2014-04-17,Parthiv Patel,37,28,5,1,132.14,India,1985-03-09,RCB,Sharjah,2014
2014-04-17,Nic Maddinson,4,6,1,0,66.67,Australia,1991-12-21,RCB,Sharjah,2014
2014-04-17,Virat Kohli,49,38,2,3,128.95,India,1988-11-05,RCB,Sharjah,2014
2014-04-17,Yuvraj Singh,52,29,3,5,179.31,India,1981-12-12,RCB,Sharjah,2014
2014-04-18,Dwayne Smith,66,43,6,3,153.49,West Indies,1983-04-12,CSK,Abu Dhabi,2014
2014-04-18,Brendon McCullum,67,45,4,5,148.89,New Zealand,1981-09-27,CSK,Abu Dhabi,2014
2014-04-18,Suresh Raina,24,19,2,0,126.32,India,1986-11-27,CSK,Abu Dhabi,2014
2014-04-18,MS Dhoni,26,11,3,1,236.36,India,1981-07-07,CSK,Abu Dhabi,2014
2014-04-18,Dwayne Bravo,8,3,0,1,266.67,West Indies,1983-10-07,CSK,Abu Dhabi,2014
2014-04-18,Cheteshwar Pujara,13,10,2,0,130.00,India,1988-01-25,KXP,Abu Dhabi,2014
2014-04-18,Virender Sehwag,19,10,4,0,190.00,India,1978-10-20,KXP,Abu Dhabi,2014
2014-04-18,Glenn Maxwell,95,43,15,2,220.93,Australia,1988-10-14,KXP,Abu Dhabi,2014
2014-04-18,Axar Patel,2,3,0,0,66.67,India,1994-01-20,KXP,Abu Dhabi,2014
2014-04-18,David Miller,54,37,3,3,145.95,South Africa,1989-06-10,KXP,Abu Dhabi,2014
