Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2016-04-09,Lendl Simmons,8,8,0,1,100.00,West Indies,1985-01-25,MI,Mumbai,2016
2016-04-09,Rohit Sharma,7,5,1,0,140.00,India,1987-04-30,MI,Mumbai,2016
2016-04-09,Hardik Pandya,9,11,2,0,81.82,India,1993-10-11,MI,Mumbai,2016
2016-04-09,Jos Buttler,0,2,0,0,0.00,England,1990-09-08,MI,Mumbai,2016
2016-04-09,Ambati Rayudu,22,27,2,0,81.48,India,1985-09-23,MI,Mumbai,2016
2016-04-09,Kieron Pollard,1,8,0,0,12.50,West Indies,1987-05-12,MI,Mumbai,2016
2016-04-09,Shreyas Gopal,2,16,0,0,12.50,India,1993-09-04,MI,Mumbai,2016
2016-04-09,Harbhajan Singh,45,30,7,1,150.00,India,1980-07-03,MI,Mumbai,2016
2016-04-09,Vinay Kumar,12,11,0,1,109.09,India,1984-02-12,MI,Mumbai,2016
2016-04-09,Mitchell McClenaghan,2,2,0,0,100.00,New Zealand,1986-06-11,MI,Mumbai,2016
2016-04-09,Ajinkya Rahane,66,42,7,3,157.14,India,1988-06-06,RPS,Mumbai,2016
2016-04-09,Faf du Plessis,34,33,1,3,103.03,South Africa,1984-07-13,RPS,Mumbai,2016
2016-04-09,Kevin Pietersen,21,14,0,2,150.00,England,1980-06-27,RPS,Mumbai,2016
2016-04-10,Mayank Agarwal,9,11,1,0,81.82,India,1991-02-16,DD,Kolkata,2016
2016-04-10,Quinton de Kock,17,10,1,1,170.00,South Africa,1992-12-17,DD,Kolkata,2016
2016-04-10,Shreyas Iyer,0,3,0,0,0.00,India,1994-12-06,DD,Kolkata,2016
2016-04-10,Karun Nair,3,8,0,0,37.50,India,1991-12-06,DD,Kolkata,2016
2016-04-10,Sanju Samson,15,13,2,0,115.38,India,1994-11-11,DD,Kolkata,2016
2016-04-10,Pawan Negi,11,19,0,1,57.89,India,1993-01-06,DD,Kolkata,2016
2016-04-10,Carlos Brathwaite,6,4,0,1,150.00,West Indies,1988-07-18,DD,Kolkata,2016
2016-04-10,Chris Morris,11,9,2,0,122.22,South Africa,1987-04-30,DD,Kolkata,2016
2016-04-10,Nathan Coulter-Nile,7,11,1,0,63.64,Australia,1987-10-11,DD,Kolkata,2016
2016-04-10,Amit Mishra,3,9,0,0,33.33,India,1982-11-24,DD,Kolkata,2016
2016-04-10,Robin Uthappa,35,33,7,0,106.06,India,1985-11-11,KKR,Kolkata,2016
2016-04-10,Gautam Gambhir,38,41,5,0,92.68,India,1981-10-14,KKR,Kolkata,2016
2016-04-10,Manish Pandey,15,12,3,0,125.00,India,1989-09-10,KKR,Kolkata,2016
2016-04-11,Murali Vijay,42,34,5,1,123.53,India,1984-04-01,KXP,Mohali,2016
2016-04-11,Manan Vohra,38,23,4,2,165.22,India,1993-07-18,KXP,Mohali,2016
2016-04-11,David Miller,15,10,1,1,150.00,South Africa,1989-06-10,KXP,Mohali,2016
2016-04-11,Glenn Maxwell,2,4,0,0,50.00,Australia,1988-10-14,KXP,Mohali,2016
2016-04-11,Wriddhiman Saha,20,25,0,0,80.00,India,1984-10-24,KXP,Mohali,2016
2016-04-11,Marcus Stoinis,33,22,4,0,150.00,Australia,1989-08-16,KXP,Mohali,2016
2016-04-11,Axar Patel,4,2,0,0,200.00,India,1994-01-20,KXP,Mohali,2016
2016-04-11,Mitchell Johnson,0,0,0,0,0.00,Australia,1981-11-02,KXP,Mohali,2016
2016-04-11,Aaron Finch,74,47,12,0,157.45,Australia,1986-11-17,GL,Mohali,2016
2016-04-11,Brendon McCullum,0,2,0,0,0.00,New Zealand,1981-09-27,GL,Mohali,2016
2016-04-11,Suresh Raina,20,9,1,2,222.22,India,1986-11-27,GL,Mohali,2016
2016-04-11,Dinesh Karthik,41,26,7,0,157.69,India,1985-06-01,GL,Mohali,2016
2016-04-11,Ravindra Jadeja,8,12,0,0,66.67,India,1988-12-06,GL,Mohali,2016
2016-04-11,Ishan Kishan,11,8,2,0,137.50,India,1998-07-18,GL,Mohali,2016
2016-04-11,Dwayne Bravo,2,2,0,0,100.00,West Indies,1983-10-07,GL,Mohali,2016
2016-04-12,Chris Gayle,1,4,0,0,25.00,West Indies,1979-09-21,RCB,Bengaluru,2016
2016-04-12,Virat Kohli,75,51,7,3,147.06,India,1988-11-05,RCB,Bengaluru,2016
2016-04-12,AB de Villiers,82,42,7,6,195.24,South Africa,1984-02-17,RCB,Bengaluru,2016
2016-04-12,Shane Watson,19,8,0,3,237.50,Australia,1981-06-17,RCB,Bengaluru,2016
2016-04-12,Sarfaraz Khan,35,10,5,2,350.00,India,1997-10-22,RCB,Bengaluru,2016
2016-04-12,Kedar Jadhav,8,6,1,0,133.33,India,1985-03-26,RCB,Bengaluru,2016
2016-04-12,David Warner,58,25,4,5,232.00,Australia,1986-10-27,SH,Bengaluru,2016
2016-04-12,Shikhar Dhawan,8,9,1,0,88.89,India,1985-12-05,SH,Bengaluru,2016
2016-04-12,Moises Henriques,19,23,2,0,82.61,Australia,1987-02-01,SH,Bengaluru,2016
2016-04-12,Naman Ojha,0,4,0,0,0.00,India,1983-07-20,SH,Bengaluru,2016
2016-04-12,Deepak Hooda,6,6,1,0,100.00,India,1995-04-19,SH,Bengaluru,2016
2016-04-12,Eoin Morgan,22,18,2,0,122.22,England,1986-09-10,SH,Bengaluru,2016
2016-04-12,Ashish Reddy,32,18,2,3,177.78,India,1991-02-24,SH,Bengaluru,2016
2016-04-12,Karn Sharma,26,17,3,1,152.94,India,1987-10-23,SH,Bengaluru,2016
2016-04-13,Robin Uthappa,8,10,1,0,80.00,India,1985-11-11,KKR,Kolkata,2016
2016-04-13,Gautam Gambhir,64,52,4,1,123.08,India,1981-10-14,KKR,Kolkata,2016
2016-04-13,Manish Pandey,52,29,3,3,179.31,India,1989-09-10,KKR,Kolkata,2016
2016-04-13,Andre Russell,36,17,1,4,211.76,West Indies,1988-04-29,KKR,Kolkata,2016
2016-04-13,Yusuf Pathan,9,6,1,0,150.00,India,1982-11-17,KKR,Kolkata,2016
2016-04-13,Colin Munro,4,5,0,0,80.00,New Zealand,1987-03-11,KKR,Kolkata,2016
2016-04-13,Suryakumar Yadav,4,1,1,0,400.00,India,1990-09-14,KKR,Kolkata,2016
2016-04-13,Rohit Sharma,84,54,10,2,155.56,India,1987-04-30,MI,Kolkata,2016
2016-04-13,Parthiv Patel,23,20,4,0,115.00,India,1985-03-09,MI,Kolkata,2016
