Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2015-04-08,Umesh Yadav,3,0,36,0,0,0,12.00,India,1987-10-25,KKR,Kolkata,2015
2015-04-08,Morne Morkel,4,1,18,2,0,0,4.50,South Africa,1984-10-06,KKR,Kolkata,2015
2015-04-08,Shakib Al Hasan,4,0,48,1,0,2,12.00,Bangladesh,1987-03-24,KKR,Kolkata,2015
2015-04-08,Sunil Narine,4,0,28,0,0,0,7.00,West Indies,1988-05-26,KKR,Kolkata,2015
2015-04-08,Andre Russell,3,0,21,0,0,0,7.00,West Indies,1988-04-29,KKR,Kolkata,2015
2015-04-08,Piyush Chawla,2,0,16,0,0,0,8.00,India,1988-12-24,KKR,Kolkata,2015
2015-04-08,Lasith Malinga,4,0,27,0,0,1,6.75,Sri Lanka,1983-08-28,MI,Kolkata,2015
2015-04-08,Vinay Kumar,3.3,0,21,0,0,0,6.36,India,1984-02-12,MI,Kolkata,2015
2015-04-08,Corey Anderson,2,0,21,1,0,0,10.50,New Zealand,1990-12-13,MI,Kolkata,2015
2015-04-08,Jasprit Bumrah,3,0,38,1,0,1,12.67,India,1993-12-06,MI,Kolkata,2015
2015-04-08,Pragyan Ojha,2,0,23,0,0,0,11.50,India,1986-09-05,MI,Kolkata,2015
2015-04-08,Harbhajan Singh,4,0,38,1,0,0,9.50,India,1980-07-03,MI,Kolkata,2015
2015-04-09,Albie Morkel,3,0,28,0,0,1,9.33,South Africa,1981-06-10,DD,Chennai,2015
2015-04-09,Nathan Coulter-Nile,4,0,30,3,1,0,7.50,Australia,1987-10-11,DD,Chennai,2015
2015-04-09,Domnic Muthuswami,3,0,18,1,0,0,6.00,India,1981-03-09,DD,Chennai,2015
2015-04-09,Imran Tahir,4,0,27,1,0,0,6.75,South Africa,1979-03-27,DD,Chennai,2015
2015-04-09,Amit Mishra,4,0,21,1,0,0,5.25,India,1982-11-24,DD,Chennai,2015
2015-04-09,Jean-Paul Duminy,2,0,15,1,0,1,7.50,South Africa,1984-04-14,DD,Chennai,2015
2015-04-09,Ashish Nehra,4,0,25,3,0,1,6.25,India,1979-04-29,CSK,Chennai,2015
2015-04-09,Mohit Sharma,4,0,33,1,0,1,8.25,India,1988-09-18,CSK,Chennai,2015
2015-04-09,Ishwar Pandey,4,0,30,1,0,0,7.50,India,1989-08-15,CSK,Chennai,2015
2015-04-09,Ravichandran Ashwin,4,0,25,1,0,1,6.25,India,1986-09-17,CSK,Chennai,2015
2015-04-09,Dwayne Bravo,4,0,36,2,0,2,9.00,West Indies,1983-10-07,CSK,Chennai,2015
2015-04-10,Sandeep Sharma,4,1,19,1,0,1,4.75,India,1993-05-18,KXP,Pune,2015
2015-04-10,Anureet Singh,4,0,23,3,0,0,5.75,India,1988-03-02,KXP,Pune,2015
2015-04-10,Axar Patel,4,0,34,1,0,2,8.50,India,1994-01-20,KXP,Pune,2015
2015-04-10,Karanveer Singh,4,0,43,0,0,0,10.75,India,1987-11-08,KXP,Pune,2015
2015-04-10,Mitchell Johnson,4,0,34,2,0,9,8.50,Australia,1981-11-02,KXP,Pune,2015
