Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2019-03-23,Deepak Chahar,4,0,17,0,1,0,4.20,India,1992-08-07,CSK,Chennai,2019
2019-03-23,Harbhajan Singh,4,0,20,3,0,0,5.00,India,1980-07-03,CSK,Chennai,2019
2019-03-23,Suresh Raina,1,0,6,0,0,0,6.00,India,1986-11-27,CSK,Chennai,2019
2019-03-23,Imran Tahir,4,1,9,3,0,0,2.20,South Africa,1979-03-27,CSK,Chennai,2019
2019-03-23,Ravindra Jadeja,4,1,15,2,0,0,3.80,India,1988-12-06,CSK,Chennai,2019
2019-03-23,Dwayne Bravo,0.1,0,0,1,0,0,0.00,West Indies,1983-10-07,CSK,Chennai,2019
2019-03-23,Yuzvendra Chahal,4,1,6,1,0,0,1.50,India,1990-07-23,RCB,Chennai,2019
2019-03-23,Navdeep Saini,4,0,24,0,1,1,6.00,India,1992-11-23,RCB,Chennai,2019
2019-03-23,Moeen Ali,4,0,19,1,0,0,4.80,England,1987-06-18,RCB,Chennai,2019
2019-03-23,Umesh Yadav,3,0,13,0,0,1,4.30,India,1987-10-25,RCB,Chennai,2019
2019-03-23,Mohammed Siraj,2,1,5,1,0,0,2.50,India,1994-03-13,RCB,Chennai,2019
2019-03-23,Shivam Dube,0.4,0,3,0,0,1,4.50,India,1993-06-26,RCB,Chennai,2019
2019-03-24,Prasidh Krishna,4,0,31,0,1,2,7.80,India,1996-02-19,KKR,Kolkata,2019
2019-03-24,Piyush Chawla,3,0,23,1,0,0,7.70,India,1988-12-24,KKR,Kolkata,2019
2019-03-24,Lockie Ferguson,4,0,34,0,0,0,8.50,New Zealand,1991-06-13,KKR,Kolkata,2019
2019-03-24,Sunil Narine,3,0,29,0,0,0,9.70,West Indies,1988-05-26,KKR,Kolkata,2019
2019-03-24,Kuldeep Yadav,2,0,18,0,0,0,9.00,India,1994-12-14,KKR,Kolkata,2019
2019-03-24,Andre Russell,3,0,32,2,0,0,10.70,West Indies,1988-04-29,KKR,Kolkata,2019
2019-03-24,Nitish Rana,1,0,9,0,0,0,9.00,India,1993-12-27,KKR,Kolkata,2019
2019-03-24,Bhuvneshwar Kumar,4,0,37,0,0,0,9.20,India,1990-02-05,SH,Kolkata,2019
2019-03-24,Shakib Al Hasan,3.4,0,42,1,0,1,11.50,Bangladesh,1987-03-24,SH,Kolkata,2019
2019-03-24,Sandeep Sharma,4,0,42,1,0,2,10.50,India,1993-05-18,SH,Kolkata,2019
2019-03-24,Siddarth Kaul,4,0,35,1,0,0,8.80,India,1990-05-19,SH,Kolkata,2019
