Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2010-03-12,Angelo Mathews,65,46,5,4,141.30,Sri Lanka,1987-06-02,KKR,Mumbai,2010
2010-03-12,Owais Shah,58,46,3,3,126.09,England,1978-10-22,KKR,Mumbai,2010
2010-03-12,Cheteshwar Pujara,10,16,2,0,62.50,India,1988-01-25,KKR,Mumbai,2010
2010-03-12,Sourav Ganguly,0,3,0,0,0.00,India,1972-07-08,KKR,Mumbai,2010
2010-03-12,Manoj Tiwary,0,1,0,0,0.00,India,1985-11-14,KKR,Mumbai,2010
2010-03-12,Jaskaran Singh,4,4,0,0,100.00,India,1989-09-04,DC,Mumbai,2010
2010-03-12,Tirumalsetti Suman,7,9,1,0,77.78,India,1983-12-15,DC,Mumbai,2010
2010-03-12,Chaminda Vaas,0,1,0,0,0.00,Sri Lanka,1974-01-27,DC,Mumbai,2010
2010-03-12,Anirudh Singh,14,14,1,0,100.00,India,1980-08-02,DC,Mumbai,2010
2010-03-12,Adam Gilchrist,54,35,3,3,154.29,Australia,1971-11-14,DC,Mumbai,2010
2010-03-12,Rohit Sharma,13,12,2,0,108.33,India,1987-04-30,DC,Mumbai,2010
2010-03-12,Andrew Symonds,5,9,0,0,55.56,Australia,1975-06-09,DC,Mumbai,2010
2010-03-12,Herschelle Gibbs,19,24,2,0,79.17,South Africa,1974-02-23,DC,Mumbai,2010
2010-03-13,Harbhajan Singh,8,6,1,0,133.33,India,1980-07-03,MI,Mumbai,2010
2010-03-13,Ryan McLaren,11,5,2,0,220.00,South Africa,1983-02-09,MI,Mumbai,2010
2010-03-13,Zaheer Khan,0,0,0,0,0.00,India,1978-10-07,MI,Mumbai,2010
2010-03-13,Saurabh Tiwary,53,33,4,2,160.61,India,1989-12-30,MI,Mumbai,2010
2010-03-13,Aditya Tare,23,13,3,1,176.92,India,1987-11-07,MI,Mumbai,2010
2010-03-13,Sanath Jayasuriya,23,14,3,1,164.29,Sri Lanka,1969-06-30,MI,Mumbai,2010
2010-03-13,Rajagopal Sathish,6,5,1,0,120.00,India,1981-01-14,MI,Mumbai,2010
2010-03-13,Ambati Rayudu,55,33,6,2,166.67,India,1985-09-23,MI,Mumbai,2010
2010-03-13,Shane Warne,1,1,0,0,100.00,Australia,1969-09-13,RR,Mumbai,2010
2010-03-13,Graeme Smith,26,22,4,0,118.18,South Africa,1981-02-01,RR,Mumbai,2010
2010-03-13,Swapnil Asnodkar,0,0,0,0,0.00,India,1984-03-29,RR,Mumbai,2010
2010-03-13,Naman Ojha,12,12,2,0,100.00,India,1983-07-20,RR,Mumbai,2010
2010-03-13,Abhishek Jhunjhunwala,14,11,1,1,127.27,India,1982-12-01,RR,Mumbai,2010
2010-03-13,Yusuf Pathan,100,37,9,8,270.27,India,1982-11-17,RR,Mumbai,2010
2010-03-13,Paras Dogra,41,29,2,2,141.38,India,1984-11-19,RR,Mumbai,2010
2010-03-13,Dimitri Mascarenhas,9,7,0,0,128.57,England,1977-10-30,RR,Mumbai,2010
2010-03-13,Yusuf Abdulla,0,1,0,0,0.00,South Africa,1983-01-17,KXP,Mohali,2010
2010-03-13,S Sreesanth,15,14,2,0,107.14,India,1983-02-06,KXP,Mohali,2010
2010-03-13,Ramesh Powar,3,7,0,0,42.86,India,1978-05-20,KXP,Mohali,2010
2010-03-13,Piyush Chawla,5,7,0,0,71.43,India,1988-12-24,KXP,Mohali,2010
2010-03-13,Mohammad Kaif,6,6,1,0,100.00,India,1980-12-01,KXP,Mohali,2010
2010-03-13,Mahela Jayawardene,0,1,0,0,0.00,Sri Lanka,1977-05-27,KXP,Mohali,2010
2010-03-13,Irfan Pathan,21,16,2,0,131.25,India,1984-10-27,KXP,Mohali,2010
2010-03-13,Kumar Sangakkara,17,9,1,1,188.89,Sri Lanka,1977-10-27,KXP,Mohali,2010
2010-03-13,Yuvraj Singh,4,5,1,0,80.00,India,1981-12-12,KXP,Mohali,2010
2010-03-13,Manvinder Bisla,2,6,0,0,33.33,India,1984-12-27,KXP,Mohali,2010
2010-03-13,Farveez Maharoof,1,1,0,0,100.00,Sri Lanka,1984-09-07,DD,Mohali,2010
2010-03-13,Mithun Manhas,31,24,2,0,129.17,India,1979-10-12,DD,Mohali,2010
2010-03-13,Dinesh Karthik,20,18,3,0,111.11,India,1985-06-01,DD,Mohali,2010
2010-03-13,AB de Villiers,7,13,0,0,53.85,South Africa,1984-02-17,DD,Mohali,2010
2010-03-13,Virender Sehwag,8,6,2,0,133.33,India,1978-10-20,DD,Mohali,2010
2010-03-13,Tillakaratne Dilshan,0,3,0,0,0.00,Sri Lanka,1976-10-14,DD,Mohali,2010
2010-03-13,Gautam Gambhir,72,54,9,1,133.33,India,1981-10-14,DD,Mohali,2010
2010-03-14,Roelof van der Merwe,1,2,0,0,50.00,Netherlands,1984-12-31,RCB,Kolkata,2010
2010-03-14,Praveen Kumar,3,5,0,0,60.00,India,1986-10-02,RCB,Kolkata,2010
2010-03-14,Robin Uthappa,20,17,1,0,117.65,India,1985-11-11,RCB,Kolkata,2010
2010-03-14,Rahul Dravid,21,16,3,0,131.25,India,1973-01-11,RCB,Kolkata,2010
2010-03-14,Virat Kohli,2,5,0,0,40.00,India,1988-11-05,RCB,Kolkata,2010
2010-03-14,Eoin Morgan,10,7,0,1,142.86,England,1986-09-10,RCB,Kolkata,2010
2010-03-14,Manish Pandey,0,7,0,0,0.00,India,1989-09-10,RCB,Kolkata,2010
2010-03-14,Shreevats Goswami,8,10,2,0,80.00,India,1989-05-18,RCB,Kolkata,2010
2010-03-14,Brad Hodge,50,45,7,0,111.11,Australia,1974-12-29,KKR,Kolkata,2010
2010-03-14,Cheteshwar Pujara,5,15,0,0,33.33,India,1988-01-25,KKR,Kolkata,2010
2010-03-14,Owais Shah,2,5,0,0,40.00,England,1978-10-22,KKR,Kolkata,2010
2010-03-14,Sourav Ganguly,23,22,1,1,104.55,India,1972-07-08,KKR,Kolkata,2010
2010-03-14,Tirumalsetti Suman,10,5,2,0,200.00,India,1983-12-15,DC,Chennai,2010
2010-03-14,Rohit Sharma,19,10,2,1,190.00,India,1987-04-30,DC,Chennai,2010
2010-03-14,Herschelle Gibbs,45,36,5,1,125.00,South Africa,1974-02-23,DC,Chennai,2010
2010-03-14,Andrew Symonds,50,43,3,3,116.28,Australia,1975-06-09,DC,Chennai,2010
2010-03-14,Adam Gilchrist,38,17,4,3,223.53,Australia,1971-11-14,DC,Chennai,2010
2010-03-14,Sudeep Tyagi,3,4,0,0,75.00,India,1987-09-17,CSK,Chennai,2010
2010-03-14,Muttiah Muralitharan,1,2,0,0,50.00,Sri Lanka,1972-04-17,CSK,Chennai,2010
2010-03-14,Ravichandran Ashwin,0,1,0,0,0.00,India,1986-09-17,CSK,Chennai,2010
2010-03-14,Lakshmipathy Balaji,15,10,1,1,150.00,India,1981-09-27,CSK,Chennai,2010
2010-03-14,MS Dhoni,42,29,3,2,144.83,India,1981-07-07,CSK,Chennai,2010
