Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2013-04-03,Brett Lee,4,0,40,2,0,1,10.00,Australia,1976-11-08,KKR,Kolkata,2013
2013-04-03,Jacques Kallis,3,0,23,0,0,2,7.67,South Africa,1975-10-16,KKR,Kolkata,2013
2013-04-03,Lakshmipathy Balaji,4,0,20,1,0,0,5.00,India,1981-09-27,KKR,Kolkata,2013
2013-04-03,Sunil Narine,4,0,13,4,0,0,3.25,West Indies,1988-05-26,KKR,Kolkata,2013
2013-04-03,Rajat Bhatia,4,0,23,2,0,1,5.75,India,1979-10-22,KKR,Kolkata,2013
2013-04-03,Laxmi Shukla,1,0,8,0,0,0,8.00,India,1981-05-06,KKR,Kolkata,2013
2013-04-03,Irfan Pathan,2,1,15,0,0,0,7.50,India,1984-10-27,DD,Kolkata,2013
2013-04-03,Ashish Nehra,3,0,20,1,0,0,6.67,India,1979-04-29,DD,Kolkata,2013
2013-04-03,Umesh Yadav,3,0,23,0,0,2,7.67,India,1987-10-25,DD,Kolkata,2013
2013-04-03,Shahbaz Nadeem,4,0,22,2,0,0,5.50,India,1989-08-12,DD,Kolkata,2013
2013-04-03,Johan Botha,3.4,0,22,1,0,0,6.47,South Africa,1982-05-02,DD,Kolkata,2013
2013-04-03,Andre Russell,3,0,24,0,0,1,8.00,West Indies,1988-04-29,DD,Kolkata,2013
2013-04-04,Mitchell Johnson,3,0,15,1,0,2,5.00,Australia,1981-11-02,MI,Bengaluru,2013
2013-04-04,Munaf Patel,4,0,40,0,0,0,10.00,India,1983-07-12,MI,Bengaluru,2013
2013-04-04,Jasprit Bumrah,4,0,32,3,0,0,8.00,India,1993-12-06,MI,Bengaluru,2013
2013-04-04,Jacob Oram,4,0,22,0,0,2,5.50,New Zealand,1978-07-28,MI,Bengaluru,2013
2013-04-04,Harbhajan Singh,4,0,21,1,0,1,5.25,India,1980-07-03,MI,Bengaluru,2013
2013-04-04,Kieron Pollard,1,0,15,0,0,0,15.00,West Indies,1987-05-12,MI,Bengaluru,2013
2013-04-04,Jaydev Unadkat,4,0,26,0,0,0,6.50,India,1991-10-18,RCB,Bengaluru,2013
2013-04-04,Daniel Christian,4,0,42,0,1,0,10.50,Australia,1983-05-04,RCB,Bengaluru,2013
2013-04-04,Vinay Kumar,4,0,27,3,0,0,6.75,India,1984-02-12,RCB,Bengaluru,2013
2013-04-04,Muttiah Muralitharan,4,0,30,0,0,0,7.50,Sri Lanka,1972-04-17,RCB,Bengaluru,2013
2013-04-04,Murali Kartik,4,0,24,1,0,2,6.00,India,1976-09-11,RCB,Bengaluru,2013
