Name,Overs,Maiden,Runs,Wicket,No Balls,Wides,Economy,Team,Date
RP Singh,3,0,30,1,0,1,10.00,Rising Pune Supergiants,2016-04-09
Ishant Sharma,4,0,36,2,0,10,9.00,Rising Pune Supergiants,2016-04-09
Mitchell Marsh,4,0,21,2,0,1,5.25,Rising Pune Supergiants,2016-04-09
Rajat Bhatia,4,1,10,1,0,0,2.50,Rising Pune Supergiants,2016-04-09
Murugan Ashwin,4,0,16,1,0,0,4.00,Rising Pune Supergiants,2016-04-09
Ravichandran Ashwin,1,0,7,1,0,0,7.00,Rising Pune Supergiants,2016-04-09
Mitchell McClenaghan,3,0,27,0,0,0,9.00,Mumbai Indians,2016-04-09
Jasprit Bumrah,3,0,30,0,1,0,10.00,Mumbai Indians,2016-04-09
Vinay Kumar,2,0,14,0,0,3,7.00,Mumbai Indians,2016-04-09
Shreyas Gopal,3,0,18,0,0,0,6.00,Mumbai Indians,2016-04-09
Harbhajan Singh,3,0,24,1,0,0,8.00,Mumbai Indians,2016-04-09
Hardik Pandya,0.4,0,12,0,0,0,30.00,Mumbai Indians,2016-04-09
Andre Russell,3,0,24,3,0,2,8.00,Kolkata Knight Riders,2016-04-10
Umesh Yadav,3,0,21,0,0,0,7.00,Kolkata Knight Riders,2016-04-10
John Hastings,2.4,1,6,2,0,0,2.50,Kolkata Knight Riders,2016-04-10
Colin Munro,1,0,7,0,0,0,7.00,Kolkata Knight Riders,2016-04-10
Brad Hogg,4,1,19,3,0,5,4.75,Kolkata Knight Riders,2016-04-10
Piyush Chawla,4,0,21,2,0,5,5.25,Kolkata Knight Riders,2016-04-10
Nathan Coulter-Nile,4,0,32,0,0,0,8.00,Delhi Daredevils,2016-04-10
Zaheer Khan,2.1,0,24,0,0,2,11.43,Delhi Daredevils,2016-04-10
Chris Morris,4,0,21,0,0,1,5.25,Delhi Daredevils,2016-04-10
Carlos Brathwaite,2,0,9,0,1,0,4.50,Delhi Daredevils,2016-04-10
Amit Mishra,2,0,11,1,0,5,5.50,Delhi Daredevils,2016-04-10
Praveen Kumar,4,0,25,0,0,0,6.25,Gujarat Lions,2016-04-11
Pradeep Sangwan,2,0,21,0,0,0,10.50,Gujarat Lions,2016-04-11
James Faulkner,4,0,39,0,0,2,9.75,Gujarat Lions,2016-04-11
Sarabjit Ladda,2,0,21,0,0,0,10.50,Gujarat Lions,2016-04-11
Ravindra Jadeja,4,0,30,2,0,1,7.50,Gujarat Lions,2016-04-11
Dwayne Bravo,4,0,22,4,0,1,5.50,Gujarat Lions,2016-04-11
Sandeep Sharma,3,0,21,1,0,0,7.00,Kings XI Punjab,2016-04-11
Mitchell Johnson,4,0,35,1,0,2,8.75,Kings XI Punjab,2016-04-11
Mohit Sharma,2.4,0,24,0,0,0,10.00,Kings XI Punjab,2016-04-11
Marcus Stoinis,2,0,27,1,0,0,13.50,Kings XI Punjab,2016-04-11
Axar Patel,2,0,17,0,0,1,8.50,Kings XI Punjab,2016-04-11
Pardeep Sahu,4,0,35,1,0,0,8.75,Kings XI Punjab,2016-04-11
Ashish Nehra,2.1,0,21,0,0,1,10.00,Sunrisers Hyderabad,2016-04-12
Bhuvneshwar Kumar,4,0,55,2,1,2,13.75,Sunrisers Hyderabad,2016-04-12
Mustafizur Rahman,4,0,26,2,0,0,6.50,Sunrisers Hyderabad,2016-04-12
Moises Henriques,4,0,41,0,0,0,10.25,Sunrisers Hyderabad,2016-04-12
Karn Sharma,4,0,57,0,0,1,14.25,Sunrisers Hyderabad,2016-04-12
Ashish Reddy,1.5,0,25,0,0,0,16.67,Sunrisers Hyderabad,2016-04-12
Adam Milne,4,0,43,1,0,5,10.75,Royal Challengers Bangalore,2016-04-12
Shane Watson,4,0,30,2,0,1,7.50,Royal Challengers Bangalore,2016-04-12
Parvez Rasool,4,0,31,1,0,0,7.75,Royal Challengers Bangalore,2016-04-12
Harshal Patel,4,0,33,0,0,1,8.25,Royal Challengers Bangalore,2016-04-12
Yuzvendra Chahal,4,0,43,2,0,2,10.75,Royal Challengers Bangalore,2016-04-12
Tim Southee,4,0,43,0,0,3,10.75,Mumbai Indians,2016-04-13
Jasprit Bumrah,4,0,32,0,0,0,8.00,Mumbai Indians,2016-04-13
Mitchell McClenaghan,4,0,25,2,0,1,6.25,Mumbai Indians,2016-04-13
Hardik Pandya,2,0,22,1,0,1,11.00,Mumbai Indians,2016-04-13
Harbhajan Singh,4,0,31,1,0,0,7.75,Mumbai Indians,2016-04-13
