Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2012-04-04,Faf du Plessis,3,2,0,0,150.00,South Africa,1984-07-13,CSK,Chennai,2012
2012-04-04,Murali Vijay,10,17,1,0,58.82,India,1984-04-01,CSK,Chennai,2012
2012-04-04,Suresh Raina,36,26,2,1,138.46,India,1986-11-27,CSK,Chennai,2012
2012-04-04,Dwayne Bravo,19,19,3,0,100.00,West Indies,1983-10-07,CSK,Chennai,2012
2012-04-04,Albie Morkel,3,8,0,0,37.50,South Africa,1981-06-10,CSK,Chennai,2012
2012-04-04,S Badrinath,10,16,0,0,62.50,India,1980-08-30,CSK,Chennai,2012
2012-04-04,MS Dhoni,4,6,0,0,66.67,India,1981-07-07,CSK,Chennai,2012
2012-04-04,Ravindra Jadeja,3,5,0,0,60.00,India,1988-12-06,CSK,Chennai,2012
2012-04-04,Ravichandran Ashwin,3,5,0,0,60.00,India,1986-09-17,CSK,Chennai,2012
2012-04-04,Shadab Jakati,6,10,0,0,60.00,India,1980-11-27,CSK,Chennai,2012
2012-04-04,Richard Levi,50,35,6,3,142.86,South Africa,1988-01-14,MI,Chennai,2012
2012-04-04,Sachin Tendulkar,16,15,1,1,106.67,India,1973-04-24,MI,Chennai,2012
2012-04-04,Rohit Sharma,0,3,0,0,0.00,India,1987-04-30,MI,Chennai,2012
2012-04-04,Ambati Rayudu,18,18,0,1,100.00,India,1985-09-23,MI,Chennai,2012
2012-04-04,James Franklin,25,30,2,0,83.33,New Zealand,1980-11-07,MI,Chennai,2012
2012-04-05,Brendon McCullum,9,7,2,0,128.57,New Zealand,1981-09-27,KKR,Kolkata,2012
2012-04-05,Jacques Kallis,4,4,1,0,100.00,South Africa,1975-10-16,KKR,Kolkata,2012
2012-04-05,Gautam Gambhir,16,15,2,0,106.67,India,1981-10-14,KKR,Kolkata,2012
2012-04-05,Manoj Tiwary,0,1,0,0,0.00,India,1985-11-14,KKR,Kolkata,2012
2012-04-05,Yusuf Pathan,0,4,0,0,0.00,India,1982-11-17,KKR,Kolkata,2012
2012-04-05,Debabrata Das,18,9,0,2,200.00,India,1986-09-22,KKR,Kolkata,2012
2012-04-05,Laxmi Shukla,26,17,1,2,152.94,India,1981-05-06,KKR,Kolkata,2012
2012-04-05,Rajat Bhatia,7,9,0,0,77.78,India,1979-10-22,KKR,Kolkata,2012
2012-04-05,Brett Lee,9,5,0,1,180.00,Australia,1976-11-08,KKR,Kolkata,2012
2012-04-05,Iqbal Abdulla,1,1,0,0,100.00,India,1989-12-02,KKR,Kolkata,2012
2012-04-05,Aaron Finch,30,27,5,0,111.11,Australia,1986-11-17,DD,Kolkata,2012
2012-04-05,Virender Sehwag,20,13,1,1,153.85,India,1978-10-20,DD,Kolkata,2012
2012-04-05,Irfan Pathan,42,20,2,3,210.00,India,1984-10-27,DD,Kolkata,2012
2012-04-05,Glenn Maxwell,3,7,0,0,42.86,Australia,1988-10-14,DD,Kolkata,2012
2012-04-06,Manish Pandey,0,5,0,0,0.00,India,1989-09-10,PW,Mumbai,2012
2012-04-06,Sourav Ganguly,3,6,0,0,50.00,India,1972-07-08,PW,Mumbai,2012
2012-04-06,Wayne Parnell,11,14,2,0,78.57,South Africa,1989-07-30,PW,Mumbai,2012
2012-04-06,Robin Uthappa,36,33,3,0,109.09,India,1985-11-11,PW,Mumbai,2012
2012-04-06,Callum Ferguson,12,13,1,0,92.31,Australia,1984-11-21,PW,Mumbai,2012
2012-04-06,Steven Smith,39,32,4,0,121.88,Australia,1989-06-02,PW,Mumbai,2012
2012-04-06,Marlon Samuels,4,4,0,0,100.00,West Indies,1981-02-05,PW,Mumbai,2012
2012-04-06,Bhuvneshwar Kumar,2,4,0,0,50.00,India,1990-02-05,PW,Mumbai,2012
2012-04-06,Murali Kartik,14,9,1,1,155.56,India,1976-09-11,PW,Mumbai,2012
2012-04-06,Rahul Sharma,0,0,0,0,0.00,India,1986-11-30,PW,Mumbai,2012
2012-04-06,Richard Levi,0,2,0,0,0.00,South Africa,1988-01-14,MI,Mumbai,2012
2012-04-06,Ambati Rayudu,1,2,0,0,50.00,India,1985-09-23,MI,Mumbai,2012
2012-04-06,Rohit Sharma,1,6,0,0,16.67,India,1987-04-30,MI,Mumbai,2012
2012-04-06,James Franklin,32,42,1,1,76.19,New Zealand,1980-11-07,MI,Mumbai,2012
2012-04-06,Dinesh Karthik,32,32,4,1,100.00,India,1985-06-01,MI,Mumbai,2012
2012-04-06,Suryakumar Yadav,0,4,0,0,0.00,India,1990-09-14,MI,Mumbai,2012
2012-04-06,Kieron Pollard,8,11,0,0,72.73,West Indies,1987-05-12,MI,Mumbai,2012
2012-04-06,Harbhajan Singh,16,15,2,0,106.67,India,1980-07-03,MI,Mumbai,2012
2012-04-06,Lasith Malinga,5,3,1,0,166.67,Sri Lanka,1983-08-28,MI,Mumbai,2012
2012-04-06,Pragyan Ojha,0,1,0,0,0.00,India,1986-09-05,MI,Mumbai,2012
2012-04-06,Rahul Dravid,28,24,3,0,116.67,India,1973-01-11,RR,Jaipur,2012
2012-04-06,Ajinkya Rahane,98,66,16,1,148.48,India,1988-06-06,RR,Jaipur,2012
2012-04-06,Ashok Menaria,0,3,0,0,0.00,India,1990-10-29,RR,Jaipur,2012
2012-04-06,Brad Hodge,21,16,1,1,131.25,Australia,1974-12-29,RR,Jaipur,2012
2012-04-06,Owais Shah,14,8,2,0,175.00,England,1978-10-22,RR,Jaipur,2012
2012-04-06,Kevon Cooper,11,3,1,1,366.67,West Indies,1989-02-16,RR,Jaipur,2012
2012-04-06,Adam Gilchrist,27,18,3,1,150.00,Australia,1971-11-14,KXP,Jaipur,2012
2012-04-06,Paul Valthaty,13,15,2,0,86.67,India,1983-12-07,KXP,Jaipur,2012
2012-04-06,Shaun Marsh,7,6,1,0,116.67,Australia,1983-07-09,KXP,Jaipur,2012
2012-04-06,Abhishek Nayar,10,10,0,1,100.00,India,1983-10-08,KXP,Jaipur,2012
2012-04-06,David Hussey,13,10,1,0,130.00,Australia,1977-07-15,KXP,Jaipur,2012
2012-04-06,Mandeep Singh,34,25,5,0,136.00,India,1991-12-18,KXP,Jaipur,2012
2012-04-06,Bipul Sharma,18,13,2,0,138.46,India,1983-09-28,KXP,Jaipur,2012
2012-04-06,Piyush Chawla,10,8,0,1,125.00,India,1988-12-24,KXP,Jaipur,2012
2012-04-06,James Faulkner,11,9,0,0,122.22,Australia,1990-04-29,KXP,Jaipur,2012
2012-04-06,Praveen Kumar,10,6,0,1,166.67,India,1986-10-02,KXP,Jaipur,2012
2012-04-07,Andrew McDonald,30,19,4,2,157.89,Australia,1981-06-05,RCB,Bengaluru,2012
2012-04-07,Cheteshwar Pujara,11,12,1,0,91.67,India,1988-01-25,RCB,Bengaluru,2012
2012-04-07,Virat Kohli,8,8,1,0,100.00,India,1988-11-05,RCB,Bengaluru,2012
2012-04-07,AB de Villiers,64,42,6,2,152.38,South Africa,1984-02-17,RCB,Bengaluru,2012
2012-04-07,Saurabh Tiwary,1,3,0,0,33.33,India,1989-12-30,RCB,Bengaluru,2012
2012-04-07,Mayank Agarwal,16,15,1,1,106.67,India,1991-02-16,RCB,Bengaluru,2012
