Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2023-03-31,Mohammed Shami,4,0,29,2,1,0,7.20,India,1990-09-03,GT,Ahmedabad,2023
2023-03-31,Hardik Pandya,3,0,28,0,0,0,9.30,India,1993-10-11,GT,Ahmedabad,2023
2023-03-31,Joshua Little,4,0,41,1,0,0,10.20,Ireland,1999-11-01,GT,Ahmedabad,2023
2023-03-31,Rashid Khan,4,0,26,2,0,0,6.50,Afghanistan,1998-09-20,GT,Ahmedabad,2023
2023-03-31,Alzarri Joseph,4,0,33,2,0,0,8.20,West Indies,1996-11-20,GT,Ahmedabad,2023
2023-03-31,Yash Dayal,1,0,14,0,0,0,14.00,India,1997-12-13,GT,Ahmedabad,2023
2023-03-31,Deepak Chahar,4,0,29,0,0,0,7.20,India,1992-08-07,CSK,Ahmedabad,2023
2023-03-31,Tushar Deshpande,3.2,0,51,1,1,1,15.30,India,1995-05-15,CSK,Ahmedabad,2023
2023-03-31,RS Hangargekar,4,0,36,3,1,3,9.00,India,2002-11-10,CSK,Ahmedabad,2023
2023-03-31,Mitchell Santner,4,0,32,0,0,0,8.00,New Zealand,1992-02-05,CSK,Ahmedabad,2023
2023-03-31,Ravindra Jadeja,4,0,28,1,0,0,7.00,India,1988-12-06,CSK,Ahmedabad,2023
2023-04-01,Umesh Yadav,4,0,27,1,0,0,6.80,India,1987-10-25,KKR,Mohali,2023
2023-04-01,Tim Southee,4,0,54,2,0,0,13.50,New Zealand,1988-12-11,KKR,Mohali,2023
2023-04-01,Sunil Narine,4,0,40,1,0,1,10.00,West Indies,1988-05-26,KKR,Mohali,2023
2023-04-01,Varun Chakaravarthy,4,0,26,1,0,1,6.50,India,1991-08-29,KKR,Mohali,2023
2023-04-01,Shardul Thakur,4,0,43,0,1,0,10.80,India,1991-10-16,KKR,Mohali,2023
2023-04-01,Sam Curran,3,0,38,1,0,0,12.70,England,1998-06-03,PK,Mohali,2023
2023-04-01,Arshdeep Singh,3,0,19,3,0,0,6.30,India,1999-02-05,PK,Mohali,2023
2023-04-01,Nathan Ellis,3,0,27,1,2,0,9.00,Australia,1994-09-22,PK,Mohali,2023
2023-04-01,Sikandar Raza,3,0,25,1,0,1,8.30,Zimbabwe,1986-04-24,PK,Mohali,2023
2023-04-01,Rishi Dhawan,1,0,15,0,0,0,15.00,India,1990-02-19,PK,Mohali,2023
