Name,Overs,Maiden,Runs,Wicket,No Balls,Wides,Economy,Team,Date
Joginder Sharma,4,0,25,1,0,0,6.25,Chennai Super Kings,2009-04-18
Jacob Oram,4,0,30,1,0,0,7.50,Chennai Super Kings,2009-04-18
Manpreet Gony,4,0,32,2,0,1,8.00,Chennai Super Kings,2009-04-18
Thilan Thushara,4,0,32,1,0,0,8.00,Chennai Super Kings,2009-04-18
Andrew Flintoff,4,0,44,1,0,0,11.00,Chennai Super Kings,2009-04-18
Sanath Jayasuriya,4,0,34,2,0,0,8.50,Mumbai Indians,2009-04-18
Zaheer Khan,4,0,34,0,0,0,8.50,Mumbai Indians,2009-04-18
Harbhajan Singh,3,0,15,1,0,0,5.00,Mumbai Indians,2009-04-18
Lasith Malinga,4,0,15,3,0,2,3.75,Mumbai Indians,2009-04-18
Rohan Raje,1,0,15,0,0,0,15.00,Mumbai Indians,2009-04-18
Dwayne Bravo,4,0,27,1,0,1,6.75,Mumbai Indians,2009-04-18
Shane Warne,4,0,18,2,0,0,4.50,Rajasthan Royals,2009-04-18
Tyron Henderson,4,0,30,1,0,0,7.50,Rajasthan Royals,2009-04-18
Kamran Khan,3,0,21,0,0,0,7.00,Rajasthan Royals,2009-04-18
Munaf Patel,3,0,25,2,0,1,8.33,Rajasthan Royals,2009-04-18
Yusuf Pathan,2,0,17,0,0,1,8.50,Rajasthan Royals,2009-04-18
Dimitri Mascarenhas,4,0,20,3,0,0,5.00,Rajasthan Royals,2009-04-18
Anil Kumble,3.1,1,5,5,0,0,1.61,Royal Challengers Bangalore,2009-04-18
Praveen Kumar,3,0,7,2,1,2,2.33,Royal Challengers Bangalore,2009-04-18
Jesse Ryder,4,0,14,2,0,1,3.50,Royal Challengers Bangalore,2009-04-18
Dale Steyn,2,0,6,0,0,3,3.00,Royal Challengers Bangalore,2009-04-18
Vinay Kumar,3,0,25,0,0,1,8.33,Royal Challengers Bangalore,2009-04-18
Dirk Nannes,3,0,24,0,0,3,8.00,Delhi Daredevils,2009-04-19
Aavishkar Salvi,2,0,17,1,0,0,8.50,Delhi Daredevils,2009-04-19
Pradeep Sangwan,2,0,19,0,0,0,9.50,Delhi Daredevils,2009-04-19
Daniel Vettori,3,0,15,3,0,0,5.00,Delhi Daredevils,2009-04-19
Yo Mahesh,2,0,25,1,0,1,12.50,Delhi Daredevils,2009-04-19
Pragyan Ojha,4,0,14,2,0,0,3.50,Deccan Chargers,2009-04-19
RP Singh,3.4,0,22,4,0,0,6.47,Deccan Chargers,2009-04-19
Harmeet Singh Bansal,4,0,23,1,0,1,5.75,Deccan Chargers,2009-04-19
Scott Styris,4,0,32,2,0,0,8.00,Deccan Chargers,2009-04-19
Fidel Edwards,4,1,6,0,0,0,1.50,Deccan Chargers,2009-04-19
Ajit Agarkar,1,0,17,0,0,1,17.00,Kolkata Knight Riders,2009-04-19
Ashok Dinda,3,0,24,1,0,0,8.00,Kolkata Knight Riders,2009-04-19
Sourav Ganguly,1,0,8,0,0,0,8.00,Kolkata Knight Riders,2009-04-19
Moises Henriques,0.1,0,4,0,0,0,40.00,Kolkata Knight Riders,2009-04-19
Chris Gayle,1,0,14,0,0,0,14.00,Kolkata Knight Riders,2009-04-19
Ishant Sharma,3,0,13,0,0,0,4.33,Kolkata Knight Riders,2009-04-19
Murali Kartik,4,0,23,0,0,0,5.75,Kolkata Knight Riders,2009-04-19
Ross Taylor,1,0,13,0,0,1,13.00,Royal Challengers Bangalore,2009-04-20
Kevin Pietersen,3,0,14,1,0,0,4.67,Royal Challengers Bangalore,2009-04-20
Anil Kumble,4,0,26,0,0,1,6.50,Royal Challengers Bangalore,2009-04-20
Virat Kohli,1,0,9,0,0,0,9.00,Royal Challengers Bangalore,2009-04-20
Vinay Kumar,1,0,12,0,0,0,12.00,Royal Challengers Bangalore,2009-04-20
Praveen Kumar,4,0,37,2,0,0,9.25,Royal Challengers Bangalore,2009-04-20
Dale Steyn,4,0,35,1,0,2,8.75,Royal Challengers Bangalore,2009-04-20
Jacques Kallis,2,0,28,0,0,0,14.00,Royal Challengers Bangalore,2009-04-20
Joginder Sharma,1,0,10,1,0,1,10.00,Chennai Super Kings,2009-04-20
Muttiah Muralitharan,4,1,11,3,0,0,2.75,Chennai Super Kings,2009-04-20
Lakshmipathy Balaji,2.2,0,18,2,0,0,8.18,Chennai Super Kings,2009-04-20
Manpreet Gony,3,0,24,1,0,2,8.00,Chennai Super Kings,2009-04-20
Andrew Flintoff,3,0,11,1,0,0,3.67,Chennai Super Kings,2009-04-20
Albie Morkel,2,0,12,1,0,1,6.00,Chennai Super Kings,2009-04-20
